id,name,rtype,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
81,Berlin SimpleSearch API,Service,Data access and reuse,https://support.berlin.de/wiki/index.php/SimpleSearch_API,,API giving access to all the data of the City of Berlin.,Local,Germany,City of Berlin,Governmental,2015,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
82,GENESIS web service interface (API),Service,Data access and reuse,https://www-genesis.destatis.de/genesis/online;sid=98FD7A341F1932E5A05EFBEE35E4F4ED.GO_1_1?Menu=Webservice,,"GENESIS (Gemeinsames neues statistisches Informationssystem, which means: Common new statistical information system) is a metadata-based statistical information system which has been developed together by the Federal Statistical Office of Germany and the statistical offices of the German Länder. The Federal Statistical Office of Germany has developed GENESIS-Online to give web-based access to GENESIS, that is, to provide the opportunity to use the statistical information system via the Internet.",National,Germany,Federal Statistical Office of Germany,Governmental,2018,Yes,,Overall planning and statistical services,Data access,No,No,API,In production,Unknown
83,FIS-Broker,Service,Data access and reuse,https://fbinter.stadt-berlin.de/fb/,,API of the geoportal of the City of Berlin.,Local,Germany,City of Berlin,Governmental,2010,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
84,Germany INSPIRE data catalogue,Service,Data access and reuse,https://gdk.gdi-de.org:443/gdi-de/srv/eng/csw,,API of the Germany INSPIRE data catalogue.,National,Germany,Government of Germany,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
85,Leipzig Open Data Catalogue,Service,Data access and reuse,https://opendata.leipzig.de/api,,API of the Leipzig Open Data Catalogue.,Local,Germany,City of Leipzig,Governmental,2012,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
86,Munich Transparent,Service,Data access and reuse,https://www.muenchen-transparent.de/infos/api,,API of the Munic Transparent service. Munich Transparent is an initiative run by a number of private volunteers as part of the Open Knowledge Foundation to improve access to the open data published by the Council of the City of Munich.,Local,Germany,City of Munich,Governmental,2010,Yes,,Executive and legislative organs,Data access,Yes,No,API,In production,Unknown
87,Leipzig Corpora Collection (LCC),Service,Data access and reuse,https://api.corpora.uni-leipzig.de/ws/swagger-ui.html,,API of the Leipzig Corpora Collection (LCC). ,National,Germany,University of Leipzid,Governmental,2014,Yes,,"Recreation, culture and religion",Data access,No,No,API,In production,Unknown
88,data.gov.gr,Service,Data access and reuse,https://www.data.gov.gr/token/,,API of the Greece open data catalogue.,National,Greece,Government of Greece,Governmental,2013,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
89,Di@vgeia - Open Data API,Service,Data access and reuse,https://diavgeia.gov.gr/api/help,,Diavgeia is the transparency portal where the Greek government publishes their acts and decisions.,National,Greece,Ministry of Administrative Reconstruction,Governmental,2014,Yes,,General public services,Data access,No,No,API,In production,Unknown
90,geodata.gov.gr,Service,Data access and reuse,https://geodata.gov.gr/content/about-en/,,"APIs of geodata.gov.gr. Geoadata.gov.gr is providing open geospatial data and services for Greece, serving as a national open data catalogue, an INSPIRE-conformant Spatial Data Infrastructure, as well as a powerful foundation for enabling value added services from open data.",National,Greece,Information Management Systems Institute,Governmental,2010,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
91,YPEN geoportal,Service,Data access and reuse,https://geoportal.ypen.gr/geonetwork/srv/eng/csw,,API of the geoportal of the Greece Ministry of Environment and Energy (YPEN).,National,Greece,Government of Greece,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
92,Hungary INSPIRE data catalogue,Service,Data access and reuse,https://inspire.gov.hu/geonetwork/srv/eng/csw,,API of the Hungary INSPIRE data catalogue.,National,Hungary,Government of Hungary,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
93,Iceland INSPIRE data catalogue,Service,Data access and reuse,https://gatt.lmi.is:/geonetwork/srv/eng/csw,,API of the Iceland INSPIRE data catalogue.,National,Iceland,Government of Iceland,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
94,data.gov.ie,Service,Data access and reuse,https://data.gov.ie/api/3/action/package_list,,API of the Irish national data catalogue.,National,Ireland,Government of Ireland,Governmental,2015,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
95,Ireland INSPIRE data catalogue,Service,Data access and reuse,https://inspire.geohive.ie/geoportal/csw,,API of the Ireland INSPIRE data catalogue.,National,Ireland,Government of Ireland,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
96,LUAS Forecasting API,Service,Service integration,https://luasforecasts.rpa.ie/xml/get.ashx?action=forecast&stop=ran&encrypt=false,,The Dublin LUAS Forecasts system provides a real-time feed of expected LUAS arrivals for every stop on the Red and Green Lines. The LUAS uses an Automatic Vehicle Location System (AVLS) to locate trams. The Forecasting system uses these updates to predict arrival times at platforms on the lines.,National,Ireland,Light Rail Transit System in Dublin (LUAS),Governmental,2016,Yes,,Transport,Data access,No,No,API,In production,Unknown
97,dati.gov.it,Service,Data access and reuse,https://www.dati.gov.it/api/3/action/package_list,,API of the Italian national open data catalogue.,National,Italy,Government of Italy,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
98,Italy Data of 'Repertorio Nazionale Dati Territoriali',Service,Data access and reuse,https://geodati.gov.it/RNDT/csw,,Italy Data of 'Repertorio Nazionale Dati Territoriali',National,Italy,Government of Italy,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
99,Italy Lombardy Open Data,Service,Data access and reuse,https://dati.lombardia.it/,,Italy Lombardy Open Data,Regional,Italy,Region Lombardy,Governmental,2012,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
100,Italy Milano Data,Service,Data access and reuse,https://dati.comune.milano.it/api/3,,API of the Milan open data catalogue.,Local,Italy,City of Milano,Governmental,2012,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
101,YUCCA Smart Data Platform,Service,Service integration,https://yucca.readthedocs.io/it/latest/yucca-docs/docs/come_fare_per/2_Accesso_API.html,,"Yucca is the Smart Data Platform of the Piedmont Region, in Italy. It is an open and pre-competitive cloud platform available for private and public entities that offers tools to experiment and create innovative technological solutions related to the world of data. It is a system that aggregates data from the Internet of Things (cameras, sensors, weather stations), from the Internet of People (e.g. tweets) and public and private data, provides for the selective sharing of the information collected, allows the self-service data processing in real-time and advanced data analysis tools and supports the display of information (data and metadata) via API. The platform offers functionality to create new value-added information and enables the creation of end-to-end solutions on a variety of themes.",Regional,Italy,Region Piedmont,Governmental,2019,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
102,ComunWeb platform,Service,Data access and reuse,https://www.comunweb.it/Temi/OpenData/Guadagnare-con-gli-Open-Data/Modalita-di-erogazione-dei-dati-attraverso-servizi-aperti-Open-Services,,"APIS of the ComunWeb platform. ComunWeb was born in 2012 as a project of the Consortium of the Municipalities of the Trentino Region, as a homogeneous IT solution for all entities interested in a communication portal on a shared platform.",Local,Italy,City of Trento,Governmental,2012,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
103,Latvian INSPIRE data catalogue,Service,Data access and reuse,https://geometadati.viss.gov.lv/geoportal/csw,,API of the Latvian INSPIRE data catalogue.,National,Latvia,Government of Latvia,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
104,Liechenstein INSPIRE data catalogue,Service,Data access and reuse,https://www.geocat.ch/geonetwork/srv/ger/csw-liechtenstein-inspire,,API of the Liechenstein INSPIRE data catalogue.,National,Liechenstein,Government of Liechenstein,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
105,Lithuania INSPIRE data catalogue,Service,Data access and reuse,https://www.geoportal.lt:/geonetwork/srv/eng/csw,,API of the Lithuanian INSPIRE data catalogue.,National,Lithuania,Government of Lithania,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
106,Luxembourg INSPIRE data catalogue,Service,Data access and reuse,https://catalog.inspire.geoportail.lu/geonetwork/srv/eng/csw,,API of the Luxembourg INSPIRE data catalogue.,National,Luxembourg,Government of Luxembourg,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
107,LuxHub banking API platform,Service,Service integration,https://developer.luxhub.com/api-catalog,,"Founded in 2018 by 4 major Luxembourgish banks (BCEE, BGL BNP Paribas, Banque Raiffeisen and POST Luxembourg), LUXHUB has quickly become a leading European Open Banking API Platform. In addition to PSD2 compliance, LUXHUB enables its customers to further develop in today's digital world by notably connecting Fintechs and financial institutions through powerful, robust and secure API connectivity.",International,Luxembourg,LuxHub,Governmental,2018,Yes,,Financial and fiscal affairs,Data access,No,No,API,In production,Unknown
108,National Library of Luxembourg Open Data Platform,Service,Data access and reuse,https://data.bnl.lu/apis/,,APIs of the Open Data Platform of the National Library of Luxembourg.,National,Luxembourg,National Library Luxembourg,Governmental,2018,Yes,,"Recreation, culture and religion",Data access,No,No,API,In production,Unknown
109,Malta INSPIRE data catalogue,Service,Data access and reuse,https://msdi.data.gov.mt/geonetwork/srv/eng/csw,,API of the Malta INSPIRE data catalogue.,National,Malta,Government of Malta,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
110,City Dashboard Amsterdam,Service,Service integration,https://citydashboard.org/amsterdam/,,"The City Dashboard Amsterdam has been developed as part of the City Service Development Kit and the Open Data Exchange projects, to make existing Amsterdam data sets available in realtime.",Local,Netherlands,City of Amsterdam,Governmental,2014,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
111,Antwerp City Platform as a Service (ACPaaS),Service,Service integration,https://acpaas.digipolis.be/,,"ACPaaS, a project by Digipolis and the City of Antwerp, is a hi-tech platform supporting all IT solutions of the City of Antwerp. ACPaaS is a collection of ready-to-use, reusable blocks of software or engines, such as notifications, profile management, payment and workflow. There are around sixty in total. These can be combined in many different ways and integrated with each other to form new IT solutions. In practice, they are used in more than 100 applications and systems and many more are on the way. Furthermore, new technologies, such as Internet of Things, blockchain and artificial intelligence are part of the platform. ",Local,Belgium,Digipolis,Governmental,2016,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
112,Eindhoven Open Data,Service,Data access and reuse,https://data.eindhoven.nl/api/v1/console/datasets/1.0/search/,,API of the Eindhoven Open Data catalogue.,Local,Netherlands,City of Eindhoven,Governmental,2015,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
113,data.overheid.nl,Service,Data access and reuse,https://data.overheid.nl/en/ondersteuning/data-publiceren/api,,API of the Dutch Government's National Data Portal.,National,Netherlands,Government of Netherlands,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
114,Netherlands INSPIRE data catalogue,Service,Data access and reuse,https://www.nationaalgeoregister.nl:443/geonetwork/srv/dut/csw-inspire,,API of the Netherlands INSPIRE data catalogue.,National,Netherlands,Government of Netherlands,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
115,Netherlands National Library,Service,Data access and reuse,https://www.kb.nl/bronnen-zoekwijzers/dataservices-en-apis,,"API of the Netherlands National Library. Digital images, metadata and texts from the KB collections are available for reuse. Depending on the applicable license, you can use the data for research, web applications and other services. The data is available according to linked data principles , as a download, via APIs (Application Programming Interface) based on SRU(link is external)or OAI-PMH(link is external) or via Wikimedia Commons.",National,Netherlands,Netherlands KB national library,Governmental,2015,Yes,,"Recreation, culture and religion",Data access,No,No,API,In production,Unknown
116,OpenKvK API,Service,Data access and reuse,https://overheid.io/documentatie/openkvk,,API to access data from the OpenKvK business register.,National,Netherlands,Netherlands Open Dutch Chamber of Commerce,Governmental,2014,Yes,,Financial and fiscal affairs,Data access,No,No,API,In production,Unknown
117,PDOK Location server,Service,Service integration,https://www.pdok.nl/restful-api/-/article/pdok-locatieserver,,"API of the Netherlands Public Services On the Map (PDOK). PDOK provides digital geo-information from the government. This information is made available via a central facility, the PDOK platform. This guarantees up-to-date and reliable digital geo-information with optimal availability. The PDOK services are open and can be used free of charge by everyone.",National,Netherlands,"Public Services On the Map (PDOK). PDOK provides digital geo-information from the government. This information is made available via a central facility, the PDOK platform. This guarantees up-to-date and reliable digital geo-information with optimal availability. The PDOK services are open and can be used free of charge by everyone. The government wants to stimulate innovation and the use of geo-information with open data. Governments can make one or more datasets available at PDOK as open data. These sets often contain geodata for the whole of the Netherlands or large parts of it. In addition, it is possible to make this available in accordance with the requirements of INSPIRE , including data harmonization. ",Governmental,2016,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
118,Dutch Railways (NS) API,Service,Service integration,https://apiportal.ns.nl/,,API of the Dutch Railways (NS.,National,Netherlands,Public transportation sector,Governmental,2013,Yes,,Transport,Data access,No,No,API,In production,Unknown
119,Netherlands Rijksmuseum API,Service,Data access and reuse,https://data.rijksmuseum.nl/object-metadata/api/,,API of the Netherlands Rijksmuseum.,National,Netherlands,Rijksmuseum,Governmental,2013,Yes,,"Recreation, culture and religion",Data access,No,No,API,In production,Unknown
120,Dutch Education data,Service,Service integration,https://duo.nl/open_onderwijsdata/footer/api.jsp,,API giving access to educational data from the Netherlands.,National,Netherlands,"Government of Netherlands, Open Education Data",Governmental,2016,No,,Education,Data access,No,No,API,Withdrawn,Unknown
121,Norway INSPIRE data catalogue,Service,Data access and reuse,https://www.geonorge.no/geonetwork/srv/nor/csw-inspire,,API of the Norway INSPIRE data catalogue.,National,Norway,Government of Norway,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
122,Poland INSPIRE data catalogue,Service,Data access and reuse,https://mapy.geoportal.gov.pl:80/wss/service/CSWINSP/guest/CSWStartup?,,API of the Poland INSPIRE data catalogue.,National,Poland,Government of Poland,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
123,Web Service TAX FREE,Service,Service integration,https://granica.gov.pl/TaxFree/webServiceTaxFree.php?v=;https://granica.gov.pl/dopobrania.php?v=en,,"The Customs Service of the Republic of Poland, in order to meet the SELLERS 'expectations regarding the digitization and improvement of customs clearance at the border, including the export of goods using TAX FREE documents, has since 2005 developed and implemented for use the IT System ""VAT Return for Travelers"". It is a solution that works only within border crossings located on the territory of the Republic of Poland.",National,Poland,Government of Poland,Governmental,2005,Yes,,Financial and fiscal affairs,Data access,No,No,API,In production,Unknown
124,Portugal INSPIRE data catalogue,Service,Data access and reuse,https://snig.dgterritorio.pt/geoportal/csw/discovery,,API of the Portugal INSPIRE data catalogue.,National,Portugal,Government of Portugal,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
125,Transparency Portal of the Portugal National Health Service,Service,Data access and reuse,https://transparencia.sns.gov.pt/api/v1/console/datasets/1.0/search/,,"API of the Transparency Portal of the Portugal National Health Service. The Transparency Portal represents a paradigm shift in the way health information is shared with the citizen. With an innovative and integrated approach, this portal brings together a set of dynamic, relevant and cross-cutting data from different health entities. In an “open data” logic, the intention is to reinforce the commitment and commitment to the rigor and transparency of information, disseminating data on access, quality and efficiency of the NHS. In a simple and quick way, the user can take advantage of these features.",National,Portugal,National Health Service of Portugal,Governmental,2016,Yes,,Health,Data access,No,No,API,In production,Unknown
126,Romania INSPIRE data catalogue,Service,Data access and reuse,https://geoportal.gov.ro/Geoportal_INIS/csw,,Romania INSPIRE data catalogue,National,Romania,Government of Romania,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
127,data.gov.sk,Service,Data access and reuse,https://data.gov.sk/api/3/action/package_list,,"API of the Slovakia Open Data catalogue. The Open Data Portal was created as part of the Open Governance Initiative, which aims to improve governance and governance by increasing transparency, efficiency and accountability. data.gov.sk is a catalog containing various datasets from liable persons in the Slovak Republic.",National,Slovakia,Government of Slovakia,Governmental,2012,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
128,Slovakia INSPIRE data catalogue,Service,Data access and reuse,https://rpi.gov.sk/rpi_csw/service.svc/get,,API of the Slovakia INSPIRE data catalogue.,National,Slovakia,Government of Slovakia,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
129,Slovenia INSPIRE data catalogue,Service,Data access and reuse,https://prostor4.gov.si/imps/srv/eng/csw-INSPIRE,,API of the Slovenia INSPIRE data catalogue.,National,Slovenia,Government of Slovenia,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
130,Aragón Open Data,Service,Data access and reuse,https://opendata.aragon.es/herramientas/desarrolladores,,"API of the Aragon Open Data catalogue. Aragon Open Data is the open data portal of the Government of Aragon. The portal is administered by the General Directorate of Electronic Administration and the Information Society and its mission is to be the catalog from which citizens and companies can access theopen data set that both the Government of Aragon publish, as well as the rest of the institutions of the Aragonese territory that want to join the initiative.",Regional,Spain,Region of Aragona,Governmental,2013,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
131,Open Data BCN,Service,Data access and reuse,https://opendata-ajuntament.barcelona.cat/en/api-cataleg,,"API of the Barcelona Open Data catalogue. Open Data BCN, a project that was born in 2010, implementing the portal in 2011, has evolved and is now part of the Barcelona Ciutat Digital strategy, fostering a pluralistic digital economy and developing a new model of urban innovation based on the transformation and digital innovation of the public sector and the implication among companies, administrations, the academic world, organizations, communities and people, with a clear public and citizen leadership.  ",Local,Spain,City of Barcelona,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
132,Sentilo BCN - Plataforma de Sensors i Actuadors de Barcelona,Service,Smart city,https://connecta.bcn.cat/connecta-catalog-web/component/map,,"The Barcelona City Council, through the Municipal Institute of Informatics (IMI), started in November 2012 a project conceived for define the strategy and the necessary actions  in order to achieve global positioning Barcelona as a reference in the field of Smart Cities. Sentilo is an open source sensor and actuator platform designed to fit in the Smart City architecture of any city who looks for openness and easy interoperability. It’s built, used, and supported by an active and diverse community of cities and companies that believe that using open standards and free software is the first smart decision a Smart City should take. In order to avoid vertical solutions, Sentilo is designed as a cross platorm with the objective of sharing information between heterogeneous systems and to easily integrate legacy applications.",Local,Spain,City of Barcelona,Governmental,2012,Yes,,General public services,Data access,Yes,No,Internet of Things,In production,Unknown
133,ICANE Statistical Data API,Service,Data access and reuse,https://www.icane.es/statistical-api,,"ICANE, as part of its strategy to improve the dissemination of its data, makes available to its users a set of functions that allow automating the obtaining of statistical data and metadata through direct use. Currently, the API provides access to all the data and metadata of all the statistical series included in its database.",Regional,Spain,Region of Cantabria,Governmental,2014,Yes,,Overall planning and statistical services,Data access,No,No,API,In production,Unknown
134,IDESCAT API,Service,Data access and reuse,https://www.idescat.cat/dev/api/,,The Institute of Statistics of Catalonia (IDESCAT) presents some of its data through a collection of RESTful Web Services (REST) ​​APIs.IDESCAT's APIs offer methods for third-party programs to obtain information from the Institut d'Estadística de Catalunya and integrate it into other services.,Regional,Spain,Region of Catalonia,Governmental,2010,Yes,,Overall planning and statistical services,Data access,No,No,API,In production,Unknown
135,MeteoGalicia MeteoSIX API,Service,Service integration,https://servizos.meteogalicia.es/api_manual/en/index.html,,"The MeteoSIX API is a web service that gives access to the results of the different numerical prediction models executed daily by MeteoGalicia. In addition, it allows to obtain information on the tides and on the times of sunrise and sunset. The objective of this API is to facilitate the consultation of the large amount of meteorological and oceanographic forecast information that exists, presenting it in a structured and orderly way. The API can be useful both for those who want to develop custom weather applications using this data, and for end users who need the information for different types of analysis and processing.",Regional,Spain,Region of Galicia,Governmental,2013,Yes,,General public services,Data access,No,No,API,In production,Unknown
136,MobilityLabs Madrid,Service,Data access and reuse,https://mobilitylabs.emtmadrid.es/portal/,,"MobilityLabs is an open and interoperable platform that allows the exchange of ideas, initiatives and data in an open manner aimed at enriching information. Within the platform you will find resources, data, repositories, forums, documentation and everything you may need to obtain data or even for you to enrich it with your own information.",Local,Spain,City of Madrid,Governmental,2019,Yes,,Transport,Data access,No,No,API,In production,Unknown
137,datos.gob.es,Service,Data access and reuse,https://www.datos.gob.es,,API of the Spanish national data catalogue.,National,Spain,Government of Spain,Governmental,2009,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
138,Spain INSPIRE data catalogue,Service,Data access and reuse,https://www.idee.es/csw-codsi-idee/srv/spa/csw,,API of the Spain INSPIRE data catalogue.,National,Spain,Government of Spain,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
139,University of Alicante data,Service,Data access and reuse,https://dev.datos.ua.es/,,API of the University of Alicante data catalogue.,Local,Spain,University of Alicante,Governmental,2016,Yes,,Basic research,Data access,Yes,No,API,In production,Unknown
140,Zaragoza Open Data,Service,Data access and reuse,https://www.zaragoza.es/sede/portal/datos-abiertos/api,,API of the City of Zaragoza open data catalogue.,Local,Spain,City of Zaragoza,Governmental,2015,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
141,Sweden INSPIRE data catalogue,Service,Data access and reuse,https://www.geodata.se:443/geodataportalen/srv/swe/csw-inspire,,API of the Sweden INSPIRE data catalogue.,National,Sweden,Government of Sweden,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
142,Sweden OpenAid data,Service,Data access and reuse,https://openaid.se/api/,,API of the Sweden OpenAid data.,National,Sweden,Government of Sweden,Governmental,2011,Yes,,Social protection,Data access,No,No,API,In production,Unknown
143,Sweden Parliament Open Dta,Service,Data access and reuse,https://data.riksdagen.se/data/dokument/,,API of the Sweden Parliament open data catalogue.,National,Sweden,Government of Sweden,Governmental,2010,Yes,,Executive and legislative organs,Data access,No,No,API,In production,Unknown
144,Stockholm Open Data Portal,Service,Data access and reuse,https://dataportalen.stockholm.se/dataportalen/,,API of the Sweden Stockholm open data catalogue.,Local,Sweden,City of Stockholm,Governmental,2017,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
145,Switzerland INSPIRE data catalogue,Service,Data access and reuse,https://www.geocat.ch/geonetwork/srv/eng/csw-geobasisdaten,,API of the Switzerland INSPIRE data catalogue.,National,Switzerland,Government of Switzerland,Governmental,2013,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
146,London DataStore,Service,Data access and reuse,https://data.london.gov.uk/api/3/action/package_list,,London DataStore,Local,United Kingdom,City of London,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
147,London Transport for London,Service,Service integration,https://tfl.gov.uk/info-for/open-data-users/unified-api?intcmp=29422,,London Transport for London,Local,United Kingdom,City of London,Governmental,2012,Yes,,Transport,Data access,No,No,API,In production,Unknown
148,The Guardian World gov data,Service,Data access and reuse,https://open-platform.theguardian.com/access/,,The Guardian World gov data,International,United Kingdom,The Guardian,Governmental,2009,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
149,UK AirQuality,Service,Service integration,https://rapidapi.com/extropynet/api/uk-air-quality/details,,UK AirQuality,National,United Kingdom,Government of United Kingdom,Governmental,2019,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
150,UK BBC,Service,Data access and reuse,https://www.bbc.co.uk/developer/technology/apis.html,,UK BBC,National,United Kingdom,BBC,Governmental,2014,Yes,,Communication,Data access,No,No,API,In production,Unknown
151,data.gov.uk,Service,Data access and reuse,https://ckan.publishing.service.gov.uk/api/3/action/package_list,,API of the UK national data catalogue.,National,United Kingdom,Government of United Kingdom,Governmental,2010,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
152,UK Directgov Syndication,Service,Data access and reuse,https://webarchive.nationalarchives.gov.uk/+/http://innovate.direct.gov.uk/syndication/,,UK Directgov Syndication,National,United Kingdom,Cabinet Office,Governmental,2010,No,2012,General public services,Data access,No,No,API,Withdrawn,Unknown
153,UK Find Your MP,Service,Data access and reuse,https://findyourmp.parliament.uk/api/search,,Find Your MP API of the UK Parliament.,National,United Kingdom,Government of United Kingdom,Governmental,2010,Yes,,Executive and legislative organs,Data access,No,No,API,In production,Unknown
154,UK Fish register,Service,Data access and reuse,https://www.fishregister.gov.uk/ERSDocuments/Scotland/API%20Developers%20Pack-129249598131000000.zip,,UK Fish register,National,United Kingdom,"Government of United Kingdom, Electronic recording and reporting system (ERS)",Governmental,2010,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
155,UK FSA Food Alerts API,Service,Service integration,https://data.food.gov.uk/food-alerts/ui/reference,,"The FSA Food Alerts API provides access to current and recent Food Alerts: Allergy Alerts (AA), Product Recall Information Notices (PRIN) and Food Alerts for Action (FAFA). It provides applications with the facility to list alerts matching some filter criterion, and to retrieve a description of an alert.",National,United Kingdom,Food Standards Agency,Governmental,2018,Yes,,"Agriculture, forestry, fishing and hunting",Data access,No,No,API,In production,Unknown
156,UK Gateway to Research,Service,Data access and reuse,https://gtr.ukri.org/resources/api.html,,API of the UK Gateway to Research.,National,United Kingdom,"Government of United Kingdom, Research and Innovation",Governmental,2016,Yes,,Basic research,Data access,Yes,No,API,In production,Unknown
157,UK Her Majesty Revenue and Costs (HMRC),Service,Service integration,https://developer.service.hmrc.gov.uk/api-documentation,,API of UK Her Majesty Revenue and Costs (HMRC).,National,United Kingdom,Her Majesty Revenue and Costs - HMRC (Tax) Gateway (UK),Governmental,2015,Yes,,General public services,Data access,No,No,API,In production,Unknown
158,UK INSPIRE data catalogue,Service,Data access and reuse,http:s//csw.data.gov.uk/geonetwork/srv/en/csw,,API of the UK INSPIRE data catalogue.,National,United Kingdom,Government of United Kingdom,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
159,UK Institute development studies,Service,Data access and reuse,http://api.ids.ac.uk/openapi/,,API of the UK Institute development studies.,National,United Kingdom,Institute for Development Studies,Governmental,2011,Yes,,Basic research,Data access,Yes,No,API,In production,Unknown
160,UK Legislation,Service,Data access and reuse,http://www.legislation.gov.uk/search,,UK Legislation API.,National,United Kingdom,National Archives,Governmental,2010,Yes,,Executive and legislative organs,Data access,No,No,API,In production,Unknown
161,UK Local Government Association Effective Service Delivery,Service,Data access and reuse,http://about.esd.org.uk/api,,API of the UK Local Government Association Effective Service Delivery.,National,United Kingdom,Local Government Association,Governmental,2018,Yes,,General public services,Data access,No,No,API,In production,Unknown
162,UK Meteo Office Weather Observations,Service,Data access and reuse,http://wow.metoffice.gov.uk/support/dataformats,,UK Meteo Office Weather Observations APIs.,National,United Kingdom,MetOffice,Governmental,2011,Yes,,General public services,Data access,No,No,API,In production,Unknown
163,UK National archives,Service,Data access and reuse,http://discovery.nationalarchives.gov.uk/API/,,UK National archives,National,United Kingdom,National Archives,Governmental,2018,Yes,,"Recreation, culture and religion",Data access,No,No,API,In production,Unknown
164,UK National Health System Clinical Decision Support APIs,Service,Service integration,https://developer.nhs.uk/apis/,,ReST and Messaging APIs conforming to the HL7 FHIR standards - covering national systems and also profiles for use in local integration.,National,United Kingdom,Department of Health and Social Care (DHSC),Governmental,2018,Yes,,Health,Data access,No,No,API,In production,Unknown
165,NextBuses API,Service,Service integration,https://www.travelinedata.org.uk/traveline-open-data/nextbuses-api/,,"The NextBuses API is an open API offered by Traveline Information Limited, subject to users signing the licence agreement based on the Open Government Licence. The API allows users to access live departure information by stop across Great Britain. Real time information will be provided where it is available and scheduled departures where not. A list of ATCO areas where real time may be accessible is available here (last updated 10th March 2020).",National,United Kingdom,Traveline Information Limited,Governmental,2011,Yes,,Transport,Data access,No,No,API,In production,Unknown
166,UK Ordnance Survey,Service,Data access and reuse,https://developer.ordnancesurvey.co.uk/home,,APIs of UK Ordnance Survey data.,National,United Kingdom,Ordnance Survey,Governmental,2020,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
167,UK Police,Service,Data access and reuse,https://data.police.uk/docs/,,APIs of UK Police data catalogue.,National,United Kingdom,Home Office,Governmental,2018,Yes,,Public order and safety,Data access,No,No,API,In production,Unknown
168,DataShare - London Borough of Redbridge,Service,Data access and reuse,https://data.redbridge.gov.uk/api/,,APIs of the data sharing platform of the London Borough of Redbridge.,Local,United Kingdom,City of London,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
