,entry_type,rtype,name,url,contact,description,geoextent,geocoverage,geocoverage_codes,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,technology,uptake,cross_border,cross_sector,type,status,id
131,case,Service,Scapis - Prevention of heart- and lung-diseases,https://www.scapis.org/about/,,"Prevention of heart- and lung-diseases. SCAPIS is the largest population study in Sweden within the cardiovascular and pulmonary system area. It is a world unique project that includes 30,000 patients and involves all six healthcare regions, university hospitals and a number of scientific players. The vision is to be able to individualize risk assessments as well as to prevent and postpone cardiovascular and pulmonary diseases in patients.
SCAPIS, Swedish CArdioPulmonary bioImage Study, is a population study around cardiovascular, epidemic and genetic research, initiated by Swedish researchers in 2007.
A pilot study was conducted in 2012 to ensure that the population study was possible to implement, and in 2014, the major SCAPIS study was initiated.
Göran Bergström, professor in cardiovascular research at the Sahlgrenska Academy in Gothenburg, started working on the project in 2008 and is currently the head of the study.",National,Sweden,SE,"six hospitals (Uppsala, Umeå, Linköping, Malmö/Lund, Gothenburg and Stockholm)",Central-Government,2014,,,Health,Hospital services.,Artificial Intelligence,,,,Service personalisation (various),Implemented,131
132,case,Service,Skatti - Answering system about population registration and income tax return,https://www.skatteetaten.no/en/person/taxes/tax-return/find-item/,,"Skatti answers general questions about population registration and the income tax return for private individuals. Skatti does not give answers to questions about, for example, ongoing or closed cases, or get help with information from the Swedish Tax Agency's register.",National,Sweden,SE,Swedish Tax Agency (Skatteverket),Central-Government,2017,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Engagement management,Not in use anymore,132
133,case,Service,Stockholm3 - Diagnosing prostate cancer with OncoWatch,https://eithealth.eu/news-article/study-ai-system-effective-in-diagnosing-prostate-cancer/,,"EIT Health has played a key role in accelerating the development and implementation of Stockholm3 and the new AI system, OncoWatch through network and financial support. As part of the development of OncoWatch, the AI system will be validated in 2020 in a nine-country multicentre study to assess its performance across different labs and in a wider range of digital pathology scanners. A first CE-marked product is expected to launch by the end of the year.https://eithealth.eu/project/oncowatch/",Local,Sweden,SE,Karolinska Institutet in Sweden,Academic-Research,2020,,,Health,Hospital services.,Artificial Intelligence,,,,Internal support processes,Pilot,133
134,case,Service,BFS - Plausibility check on quality and reliability of administrative data,https://www.experimental.bfs.admin.ch/expstat/en/home/innovation-data-science/plausi.html,,"This project intends to extend and accelerate the plausibility checks in the Federal Office for Statistics (BFS) using machine learning algorithms while increasing the data quality. Data that appears to be either clearly wrong or at least questionable will be sent back to the data providers with a request for correction or comment. Until now, such plausibility checks were mostly carried out in two different ways: either by manual controls or by automated procedures using limit values ​​and logical tests. This process of mutual plausi checks is very labor intensive. Machine learning can help to carry out the controls more quickly and more precisely.",National,Switzerland,CH,Federal Office for Statistics ,Central-Government,2019,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Internal primary processes,In development,134
135,case,Service,NOGAuto - Assign or control codes to companies for economic activities , ,,"In 2017, the Swiss Federal Statistical Office (FSO) released its data innovation strategy to ensure to keep up with time and technology. NOGAuto is one of the main five projects, which has been retained in line with FSO’s data innovation strategy with the goal to augment and/or complement the existing basic official statistical production at the FSO.
This project is realised to automate the coding of the economic activity of enterprises using “supervised machine learning” methods applied to already available data within the FSO (e.g. data from surveys, descriptions in the commercial register, explanatory notes for classifications) to support coding.",National,Switzerland,CH,Federal Office for Statistics,Central-Government,2017,,,Economic affairs,R&D economic affairs,Artificial Intelligence,,,,Internal primary processes,Implemented,135
136,case,Service,Chatbot - Offer residents and tourism information and services from the administration,https://www.stadt.sg.ch/home/verwaltung-politik/verwaltung-dienste/chatbot.html,,"Using a prototype, the city of St.Gallen tested the potential and acceptance of a chatbot in order to offer residents and tourism better access to information and services from the administration. 
By the end of 2018, various topics had been mapped in the chatbot. This includes the event calendar, information on parking spaces, the query of mobility information, the use of eUmzugCH, the query of information on disposal and the input of feedback to the programmers. 
The implementation in its own software environment, more extensive dialog options, the connection to the residence confirmation, the debt enforcement register extract and the extension of the deadline in the area of ​​taxes will take place in 2019. Linked to this is the public test of the chatbot and subsequently a revision based on the knowledge gained from the public test. 
The bot is integrated in the urban app (mobileSG) and on the city's website",Local,Switzerland,CH,Municipality of St.Gallen,Local Government,2021,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Engagement management,Implemented,136
137,case,Service,Maxi - Chatbot answering questions on insurance, ,,"The Social Insurance Aargau SVA has introduced the Maxi Chatbot in order to reduce the number of questions received daily. The chatbot can answer general questions without sensitive data content. In the future, all further emails should run through automated and intelligent (learning) triage and further processing. To do this, requests with personal data must be correctly triaged by the chatbot and, depending on the type of request, directly trigger a process on the specialist application. With the introduction of the ""Maxi"" chatbot, remedial measures were taken and mail inquiries reduced by around 30%.",Regional,Switzerland,CH,Social Insurance Institute of Canton of Aargau,Local Government,2021,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Engagement management,Implemented,137
138,case,Service,"Chatbot - Security institution information, find the ones entitled to premium reductions",https://www.svasg.ch/news/meldungen/20190329_leader-award.php,,"In the Canton of St. Gallen, a Chatbot has been developed in the social security institution (SVA) organization to provide information for citizens about their services ",Regional,Switzerland,CH,Social Insurance Institute of St.Gallen,Local Government,2019,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Engagement management,Implemented,138
139,case,Service,Refugees - Assigning asylum seekers,https://immigrationlab.org/2018/05/26/switzerland-launches-program-test-ai-refugee-integration/,,"The Swiss State Secretariat for Migration is testing a new, data-driven method for assigning asylum seekers to cantons across the country. Asylum seekers in the pilot program will be assessed by an algorithm designed to maximize their chances of finding a job. The algorithm will allow officials to send individuals to the canton that best fits their profile, rather than allocate them randomly, as under the current system. The program will then follow these asylum seekers over several years, comparing their employment rates to those of others who entered the country at the same time. The pilot is including two thousand people, half placed in cantons with the guidance of the algorithm and half placed randomly. 
The algorithm’s recommendations take into account constraints such as the limited space in a canton, and placement officials make the final decision in each case. The placement algorithm was developed by the Immigration Policy Lab (IPL), which has branches at Stanford University and ETH Zurich, and an affiliated researcher from Dartmouth College",National,Switzerland,CH,Swiss State Secretariat for Migration,Central-Government,2021,,,Public order and safety,Public order and safety n.e.c.,Artificial Intelligence,,,,Monitoring policy implementation,In development,139
140,case,Service,"DVSA MOT -  Intelligent, data-driven approach to better target Driver and Vehicle Standards Agency (DVSA) resources", ,,"The Driver and Vehicle Standards Agency (DVSA) wanted to use a more intelligent, data-driven approach to better target their resources and ensure annual inspection (MOT) standards remained high.",National,United Kingdom,UK,Driver and Vehicle Standards Agency,Central-Government,2019,,,Economic affairs,Transport,Artificial Intelligence,,,,Predictive enforcement processes,Pilot,140
141,case,Service,"HART - Assessment risk tool, predictive policing based on person data",https://www.tandfonline.com/doi/full/10.1080/13600834.2018.1458455,,"The Harm Assessment Risk Tool (HART) puts information on a person's past offending history, age, postcode and other background characteristics through algorithms that then classify them as a low, medium or high risk. It is used by the police of Durham and was one of the first reported cases of predictive policing used in the police. ",National,United Kingdom,UK,Durham city police,Local Government,2018,,,Public order and safety,Police Services,Artificial Intelligence,,,,Predictive enforcement processes,Pilot,141
142,case,Service,Amelia - Chatbot helping local residents find city services,https://www.intelligentcio.com/eu/2021/06/10/amelia-hired-by-centric-to-transform-citizen-services-with-conversational-ai/,,"Amid budget cuts, the Enfield Council in North London emploies Amelia, an avatar and chatbot personal assistant from IPsoft. Amelia uses Artificial Intelligence, machine-learning algorithms, and a natural language processor to help local residents find city services. ",Local,United Kingdom,UK,London Borough of Enfield,Local Government,2021,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Engagement management,Implemented,142
143,case,Service,Babylon - Health interactive symptom checker,https://www.babylonhealth.com/us/what-we-offer/chatbot,,"Babylon's interactive symptom checker asks you questions to analyse your condition. Babylon's AI system has been created by experienced doctors and scientists using the latest advances in deep-learning. Much more than a searchable database, it assesses known symptoms and risk factors to provide informed, up-to-date medical information.",National,United Kingdom,UK,National Health Service,Central-Government,2021,,,Health,"Medical products, appliances and equipment.",Artificial Intelligence,,,,Service personalisation (various),Implemented,143
144,case,Service,TravelBot - Chatbot for travel information,https://www.facebook.com/tfltravelbot/,,"The new social media tool, which is powered by Artificial Intelligence, can ""chat"" with customers using Messenger and instantly tell them when their bus is due to arrive, provide service updates and Tube maps. The TravelBot can also link direct to a customer service agent, making customer service queries easier than ever.",Local,United Kingdom,UK,Transport for London,Local Government,2021,,,Economic affairs,"General economic, commercial and labour affair",Artificial Intelligence,,,,Service personalisation (various),Implemented,144
145,case,Service,EHPS - Early help profiling system to identify children and families considered vulnerable, ,,"A predictive system called the ""Early Help Profiling System (EHPS)"" used in Hackney County (London), which uses data from a variety of different sources to identify children and families considered vulnerable and at risk of child abuse to the municipality. The data includes statistics from different government agencies, such as school attendance, housing information, economic indicators, and others. This allows early intervention to these families, avoiding the occurrence of a crisis with more expensive follow-up actions.  Each month, the social workers team gets a list of 20 families who are of high risk and unknown to the social workers at that time. Social workers then decide based on the information to conduct an early intervention, such as support from a child centre or a health assessment. It has been reported that the model had a high accuracy, with more than 80% of the risk alerts deemed valid, despite challenges with continuous updating of some data sources. The system was expected to help councils save around one million euro per year by having early, targeted interventions. However, the system was heavily criticized. The nature of the data collection and the risk assessment was very opaque as data is processed by a private company, leading to concerns by citizens. Those whose data was used were not informed and it was kept a secret which indicators were to determine the risks, since a private company was responsible for the development and argued that the information was commercially sensitive. Others noticed that the system was only put in place to cope with the austerity measures put in place, as the system was advertised to maximize payments from the Troubled Families programme. 
Now Hackney Council stopped working with the programme as it did not realise the expected benefits.",Local,United Kingdom,UK,,Local Government,2018,,,Social protection,Family and children.,Artificial Intelligence,,,,Predictive enforcement processes,Not in use anymore,145
146,case,Service,Posting of invoices - Robot to propose the correct posting, ,,"Customers of The Norwegian Government Agency for Financial Management (DFØ) spend considerable time and resources on posting incoming invoices due to uncertainty about the correct posting. In some cases this can lead to invoices being paid after the due date and can create extra costs for the agency in the form of interest and charges. DFØ is currently testing solutions from two companies, one of which involves an accounting robot that uses AI to propose the correct posting. The model is trained using historical data before making a prediction of the posting based on a combination of historical data and information obtained from the actual invoice.

",National,Norway,NO,Norwegian Government Agency for Financial Management,Central-Government,2021,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Internal support processes,Implemented,146
147,case,Service,Misty II - Robot for elderly people," https://www.elespanol.com/invertia/disruptores-innovadores/autonomias/cataluna/20210223/misty-robot-facil-mayores-viven-solos-barcelona/560944535_0.amp.html;
https://5gbarcelona.org/pilots/5g-emotional-robot/;
https://docs.mistyrobotics.com/misty-ii/get-started/meet-misty/",,"Twenty elderly people who live alone and already use services provided by the City Council’s Area for Social Rights are to be accompanied in their daily lives by the social robot Misty II. This is the start of a pilot project to analyse the usefulness of a project created for the challenge ‘Improving the quality of life of senior citizens through technology’, launched by the Barcelona Mobile World Capital Foundation. Users will be selected to live with a robot during a trial period. The pilot aims to discover to which extent the quality of life for senior citizens can be improved through assistance with a social robot, by, for example, reducing isolation, monitoring their health, preventing the forgetting of medicine or appointments. ",Regional,Spain,ES511,Municipality of Barcelona,Local Government,2021,,,Social protection,Old age.,Artificial Intelligence,,,,Service integration (various),Pilot,147
148,case,Service,ARC-D - Automatic Road Condition Detection,https://palaimon.io/blog/arcd,,"Currently there is no automated collection of condition data for all federal motorways.  An up-to-date database and an automated assessment of the quality of individual stretches of motorway would be important, e.g. in order to initiate suitable maintenance measures at an early stage and thus prevent cost-intensive long-term damage.  A system is being developed, on the basis of image data previously classified by experts, that enables video data to be (partially) (partially) automated evaluation of video data in order to classify roads in terms of their condition. In the long term, other sensor data will also be incorporated.",National,Germany,DE,"BMVI, Autobahn GmbH of the Federal Government",Central-Government,2020,,,Economic affairs,Transport,Artificial Intelligence,,,,Smart Recognition processes,In development,148
149,case,Service,C-19 - Interdepartmental chatbot on the topic of Corona.,https://chatbot.it.bund.de/,,"Citizens want to receive quick and easy-to-understand information, also about Covid 19 issues. Various channels are available to them for this purpose (including post, e-mail, telephone, personal auditions), but some of these are tied to opening hours and tie up staff resources in the authorities. Since the beginning of the pandemic, the number of enquiries in the public services has increased by up to ten times. A chatbot automatically answers questions from citizens. In the process, existing FAQs are entered as building blocks for a dialogue. In the future, chatbots will have functions for creating applications and clarifying status. The AI components will used primarily for speech recognition, but also for processing the dialogues conducted. C-19 Chatbot provides pre-formulated answers and references to further sources of information",National,Germany,DE,ITZBund ,Central-Government,2021,,,General public services,General services.,Artificial Intelligence,,,,Internal primary processes,In development,149
150,case,Service,Study certificates - Automatic recognition for applying for child benefit,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,,"To apply for child benefit, the current certificate of study of the child in question must be submitted twice a year. This results in a high volume of documents to be checked by hand, especially since the German universities could not agree on a uniform form.The client uploads the certificate of study to an appropriate website. The text of the certificate of study is extracted with OCR (Optical Character Recognition) and transferred to the system for classification. Four issues are checked:
-Is it a certificate of study (yes/no) and with what probability (score)?
probability (score)?
-Is it the right child?
-Is it the correct validity period/semester?
-Is it a known German university?
The result of the classification is displayed to the employees in the specialist procedure of the family benefits office. At the same time, the result of the check procedure ""Studienbescheinigung ja /nein"" (certificate of study yes /no) is indicated. This must then be actively accepted by the employee. The training data currently consists of 60,000 study certificates that are semi-automatically annotated and
annotated and then used for training. Using a specially developed algorithm, the personal data is anonymised before classification and can therefore also be used as training data. and can therefore also be used as training data. The classification of the study certificate is carried out by: Naive Base/Support Vector Machine / Logistic Regression. To NLP (Natural Language Processing), Named Entity Recognition is used for data extraction.",National,Germany,DE,Bundesagentur für Arbeit,Central-Government,2020,,,Social protection,Family and children.,Artificial Intelligence,,,,Taking decisions on benefits  ,Pilot,150
151,case,Service,Trade statistics - Classification system that automatically new data points as relevant,https://www.researchgate.net/publication/329945338_Machine_Learning_in_Official_Statistics,,"The starting point is a classification problem: In order to decide whether a data point (e.g. a craft enterprise) is to be included in a statistic, it must be classified as relevant. (e.g. a craft enterprise) is included in a statistic, it must be classified as relevant or not. or not relevant. Up to now, this has been done manually. However, this is time-consuming and is also prone to errors. Furthermore, there are only scarce personnel capacities. On the basis of previously determined classification patterns for units (information from business registers), a classification system is trained that automatically classifies new automatically classifies new data points as relevant or not. Case handlers are given the same time window as before to process the now pre-sorted cases. The classified data points (craft enterprises relevant/not relevant for the statistics). statistics)",National,Germany,DE,Statistisches Bundesamt,Central-Government,2018,,,General public services,General services.,Artificial Intelligence,,,,Internal support processes,Pilot,151
152,case,Service,Indoor Robot - Making a 3D model of a new building ,http://publica.fraunhofer.de/documents/N-599611.html,,"People need to be able to navigate (independently) in existing public buildings. In particular, people with disabilities such as blind people and wheelchair users need
information about the conditions of the building as well as simple and barrier-free navigation. In practice, current building plans often do not provide the necessary information. A robot measures the entire building using a laser scanner and object camera. A vector model of the building is created from the individual measurement points using AI. which can then be used for orientation maps and their display on mobile devices. mobile devices. The robot thus makes a 3D model of the building",National,Germany,DE,Bundesministerium für Verkehr und digitale Infrastruktur (BMVI),Central-Government,2020,,,Housing and community amenities,Housing development.,Artificial Intelligence,,,,Smart Recognition processes,Pilot,152
153,case,Service,Child benefit - Voice assistant for parents support,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,,"Parents are required by law to provide the registry office with information on the registration of their child in the first days after the birth of their child to the registrar's office, to determine the name and to create the first formal thus also create the first formal prerequisite for receiving parental and child benefits. The bureaucratic burden is increased by the fact that documents are requested at different places in a redundant manner and that there is usually (still) no electronic data exchange. Immediately after the birth, this creates additional work for many parents - in addition to the often tense domestic situation.

The guiding principle of the project is: ""The data runs, not the parents"". First, in 2018, a citizen-friendly, only three-page combination form was developed for entering all necessary data once. Thanks to a cross-institutional parents can hand it in directly at the maternity clinic, and the cooperation partners take care of everything else. take care of everything else. Parents now receive their child's birth certificate by post much faster. The parents now receive their child's birth certificate, the tax ID, the entry in the registration system and the child benefit notice much more quickly by post. The child benefit is transferred directly to their account. On this basis, an online service was service was developed in 2019, which will initially be offered as a pilot to a limited target group in June 2020. at the Asklepios Clinic in Altona. The pilot also includes the use of a voice assistance system to enable the combined application to be completed more easily and with fewer barriers. At stationary terminals in clinics or via tablets or smartphones, parents are guided linguistically through the process. guided through the process. Output of the application data at the responsible registry offices or the family insurance fund. A downstream system checks whether possible follow-up questions are required.",National,Germany,DE,Amt für IT und Digitalisierung in der Senatskanzlei der Freien,Central-Government,2020,,,Social protection,Family and children.,Artificial Intelligence,,,,Service personalisation (various),Pilot,153
154,case,Service,Against pornography - Analysis of suspicious material ,https://www.behoerden-spiegel.de/2021/05/25/ki-im-kampf-gegen-kinderpornografie/,,"For the prosecution of the distribution, acquisition and possession of child and youth pornographic material for children and adolescents, a large amount of secured and possibly evidence-relevant data must be analysed on a regular basis. For example, non-justiciable holiday pictures must be from child pornography.  An automated image recognition system analyses possible images and sort out those that are most likely to depict child or youth pornography. These are then forwarded to the case worker for further investigation. Suspected child or youth pornography images that are submitted to the public prosecutor's office for a decision.",National,Germany,DE,Cologne City,Local Government,2021,,,Public order and safety,Police Services,Artificial Intelligence,,,,Predictive enforcement processes,Pilot,154
155,case,Service,Notification procedure - Automatic control of accident occurring at the workplace,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,,"If an accident occurs at the workplace or on the way to and from work caused by a third party, the Employer's Liability Insurance Association checks whether this third party can be held liable. In the case of suspected recourse, a standardised document was forwarded to the central office for recourse proceedings and manually pre-checked.  Based on about one million completed (successful and unsuccessful) recourse and unsuccessful) subrogation proceedings, an AI is trained to assess to what extent there is a sufficient probability of successful subrogation proceedings in current and old cases. exists in current and old cases. Using text mining, the data is also searched for critical keywords to provide further to provide further supporting information for the later decision by the case handler. (Were the police called? Was there an assault?). The forecasts and all information necessary for the decision are made available to the recourse department via a web interface. The AI calculates the plausibility for a possible recourse procedure, the amount of the total costs and at the same time forecasts the probability of success. ",National,Germany,DE,"Berufsgenossenschaft Energie Textil Elektro Medienerzeugnisse (BG ETEM)
",Central-Government,2020,,,Economic affairs,"General economic, commercial and labour affair",Artificial Intelligence,,,,Monitoring policy implementation,Pilot,155
156,case,Service,R1 - humanoid robot,https://www.etapasproject.eu/usecases/post-2/,,"R1, the humanoid robot designed to assist us on several occasions. R1 is equipped with sophisticated mechanics, sensors and Artificial Intelligence that make it one of the most complete humanoids on the international scene. R1, used as a pilot project at the ETAPAS H2020 project (https://www.etapasproject.eu/usecases/post-2/),  will be able to be used as a low-cost assistive-rehabilitation robot in rehabilitation gyms to integrate more traditional treatments, support the clinical-assistance staff in the ward, as well as at the patient's home, where he can bring objects, help the assisted person to find them or to take them if difficult to reach. R1 will also be able to remember appointments or take medicines and recognize falls to manage any emergencies.",Across Countries,Italy,IT,ETAPAS project: Fondazione Don Gnocchi (Italy),Non-governmental,2021,,,Health,"Medical products, appliances and equipment.",Artificial Intelligence,,,,Service personalisation (various),Pilot,156
157,case,Service,Kari - Chatbot for local governments,https://www.etapasproject.eu/usecases/post-3/,,"The chatbot Kari is an AI-based virtual agent developed for local government bodies – the local municipalities – to answer citizen's questions on the municipality services. It is currently available to the citizens of 80 Norwegian local municipalities – covering about 30% of the Norwegian population, and is in the process of being implemented in other European countries, including Sweden, Finland and Denmark. The chatbots knowledge-base contains over 6000 intents (answers to municipality questions), making it one of the largest in the world. ",Across Countries,Sweden,SE,ETAPAS Project: SINTEF-Prokom ,Non-governmental,2021,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Engagement management,Pilot,157
158,case,Service,CERTH-MUKA - Public Organizations Multi-factor Misinformation Handling ,https://www.etapasproject.eu/usecases/post-4/,,"A pilot project of the ETAPAS project. The deployment of AI for fake news detection and prioritization of emerging issues in the municipality of Katerini (Greece) is assessed by the ETAPAS framework to identify all relevant ethical and social risks and propose mitigation actions, eliminating any relevant risks and unforeseen consequences.",Across Countries,Greece,EL,"ETAPAS project: Municipality of Katerini
",Governmental,2021,,,General public services,General public services n.e.c.,Artificial Intelligence,,,,Supporting inspection processes,Pilot,158
159,case,Service,Home Quarantine App - Supporting the use of electronic control for home quarantine, ,,"In early May 2020, a Government Decree has allowed the use of electronic control for home quarantine. The developer company, Asura Technologies, who approached the government with the idea of the Home Quarantine App. Asura is a Hungarian company with experience facial recognition and GPS-location technologies. Though all personal data remains with the state and Asura has no access to them (they just establish a connection between them), the app itself is operated by the developer company.The use of the app is voluntary; however, the relevant decree encourages its use as the fines for infringement of quarantine rules are lower if one agrees to use the app.",National,Poland,PL,,Central-Government,2020,,,Health,Health n.e.c.,Artificial Intelligence,,,,Monitoring policy implementation,Implemented,159
160,case,Service,Estimation of income of self-employed and SMES who pay taxes by module ,https://www.agenciatributaria.es/,,"SMES and self-employed can opt, under certain circumstances, to pay taxes by modules instead of indicating the exact amount of income. The solution estimates the income of the target population by training in a broadest population of similar characteristics that opt to pay taxes indicating the exact amount of income. It also uses data from taxpayers that change their paying scheme from one period to the next. The estimated amount is later used in the calculation of different ratios and statistics related to income.  ",National,Spain,ES,Agencia Tributaria,Central-Government,2021,,,Economic affairs,Economic affairs n.e.c,Artificial Intelligence,,,,Prediction and planning ,Implemented,160
161,case,Service,Véda-KAFIR-ROBOTZSARU (‘Robocop’) - System Operated by the Police for Traffic Safety Automated Processing,https://www.origo.hu/auto/20160415-megneztuk-a-szupertraffipaxok-vasarosnemenyi-kozpontjat.html,,"Véda is an intelligent road traffic camera system, which provides data to KAFIR (Közlekedésbiztonsági Automatizált Feldolgozó és Információs Rendszer - Traffic Safety Automated Processing and Information System). Together with the solutions provided by Robotzsaru (‘Robocop’), an integrated administration, case processing and electronic records management system, basically the main software of the police, fines for road traffic violations are almost automatic The cameras record the registration number, speed of the vehicle, the coordinates of the location, the date and time of the event. This data is transferred to the KAFIR, which cross-checks data with the traffic registry (e.g., if the vehicle is stolen) and uploads everything together in the Robotzsaru IT system. The generated files are then classified and transmitted to the responsible authority. Up to this point, there is no possibility for human interference. Possible infringements are punishable under no-fault liability and the data is unquestionable, even if the decision is made automatically. However, there is an ex-post check by the administrator.",National,Spain,ES,NAV,Central-Government,2016,,,Economic affairs,Transport,Artificial Intelligence,,,,Predictive enforcement processes,Implemented,161
162,case,Service,TÉBA - Decision on the Maternity Benefit  following the family support scheme of the Hungarian State Treasury , ,,"The Treasury operates some other complex algorithms, such as an ASP-system for local governments that aims to: 
 Support local governments in the performance of their tasks and internal operation, the development and electronic development of organizations and processes, the improvement of efficiency, and the reduction of their costs, 
Monitor the management of local governments with modern tools and methods. 
Monitor the financing mechanisms of the local government subsystem. Provide access to electronic administration services for the population and businesses living in the affected areas on a single platform in certain municipal administration processes.  Another example is the KIRA system, which provides centralized payroll accounting for employees of state and municipal budget bodies (government officials, civil and public servants, foster parents, and other state employees). However, though the above-mentioned systems are suitable to perform statistical and (risk) analysis, they do not involve the narrowly interpreted automated-decision making.",National,Spain,ES,,Central-Government,2018,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Service personalisation (various),Implemented,162
163,case,Service,Predicting sick leave duration,"https://nav.no
https://www.jstor.org/stable/40967545",,"Predicting sick leave duration: The Norwegian Labour and Welfare Service aim to advice case workers working with people on sick leave on which cases to follow up more closely and which cases that needs less attention. 
The advice is a prediction of remaining duration of the current sick leave. 
The prediction will be a part of the information available for the case worker when deciding to call for a dialogue meeting between the actors involved in the sick leave. The solution uses the random forest algorithm in order to aid explanability, the output is explained using shapley values.
",National,Norway,NO,NAV,Central-Government,2021,,,Social protection,Unemployment.,Artificial Intelligence,,,,Prediction and planning ,Implemented,163
164,case,Service,Intelligent mechanisms for clinical evaluation - Facilitate the reconciliation of citizens,"https://www.almaviva.it/it_IT/Sanita_digitale/Case_study_IA_sanita

https://www.lombardiaspeciale.regione.lombardia.it/wps/portal/LS/Home/News/Dettaglio-News/2020/10-ottobre/premio-vimercate/premio-vimercate

https://www.asst-brianza.it/web/uploads/news/newsletter/eedf8a85-a91d-43af-abff-a7655e8875fd.pdf",,"The Client's objective was to introduce intelligent mechanisms that would facilitate the reconciliation of the need to offer the citizen the best care and, at the same time, optimize costs, reducing the time that each doctor took away from taking care of patients for administrative duties. Machine Learning algorithm can support the doctor in the clinical evaluation and make suggestions in less time, analyzing much more information.  Clinicians in the diabetic, nephrology and internal medicine departments are called upon every day to make predictions based on the conditions of the patients being treated with respect to the time of discharge, the possibility of the onset of complications and consequent need for readmission, even urgent, to the facility. . They must, they needed to update the forecast every day for both patients in treatment and for those in protected discharge, to ensure that the facility was always able to provide assistance.",National,Italy,IT,AlmavivA,Private sector,2021,,,Health,Health n.e.c.,Artificial Intelligence,,,,Service personalisation (various),Implemented,164
