,name,description,url,geoextent,geocoverage,lead_organization_name,lead_organization_category,start_date,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
63,"Public Services and Procurement Canada,  Language quality tool","Buyandsell Canada are required to publish all of their requests for tenders in both French and English. However, often mistakes appear in the translations. They are currently looking for a machine language solution (in the natural language processing area) which would monitor the tenders that are put up and flag whether, the title and content is provided in both languages, the syntactic structure is correct, and the semantic meaning is retained from one language to the other.",,National,Canada,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
64,"NSW Data Analytics Center, CAITY","The agency partnered with Microsoft to develop a machine learning tool to track its annual procurement budget. In the initial proof of concept, a machine learning neural network will be built to categorise how the NSW Government’s $30 billion annual procurement budget is allocated each year. The Government wants to first validate what it is spending its money on and confirm whether it is getting value for money. 

NSW Procurement scaled up the tool and is now using it in the course of its operations.",https://news.microsoft.com/en-au/features/nsw-government-signs-agreement-with-microsoft-to-globalise-data-science-capability/,National,Australia,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
65,"Digital Transformation Agency, AI Project","The Australian government has signed a whole-of-government service agreement with IBM to accelerate the uptake of blockchain, artificial intelligence, and quantum computing in the public sector. This will provide access to IBM's AI and cloud technology to all federal departments. A major focus area is enhancing cyber-security of federal organizations. Though it is currently not clear what all functions these technologies will be applied to, solutions for procurement could be within scope.",https://www.smartcompany.com.au/technology/emerging-technology/australian-government-ibm-1-billion-deal-blockchain-ai/,National,Australia,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
66,"Nordic Council of Ministers, AI declaration","AI is major policy focus of the Nordic-Baltic Region, which has signed in May 2018 a joint declaration to develop, promote, and remove barriers to the use of AI in both the private and public sphere. As such, one of the goal is to “enable more authorities, companies and organizations to use AI”. A number of initiatives concerning the usage of AI in public procurement can be expected to arise from the Nordic Region. The countries include Sweden, Estonia, Faeroe Islands, Finland, Iceland, Latvia, Lithuania, Norway, Aland Islands.",https://www.regeringen.se/49a602/globalassets/regeringen/dokument/naringsdepartementet/20180514_nmr_deklaration-slutlig-webb.pdf,International,Community,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
67,"YPO, Procurement Information Provider",YPO has introduced a chatbot - the Procurement Information Provider (PIP) to help public sector buyers navigate their way through YPO's services and discover the frameworks on offer. The chatbot can provide information from other areas of the website and direct users to relevant procurement teams.,https://www.ukauthority.com/articles/ypo-launches-procurement-chatbot/,National,United Kingdom,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
68,"World Bank, Global public procurement database","The project team considered options on how to create a publicly available online database of information on country public procurement systems, including country eProcurement implementations, across the world. One of their key findings was that the design of the system to make use of artificial intelligence capabilities such as natural language processing (NPL) combined with machine learning could significantly reduce the Level of Effort (LoE) associated with data collection from public procurement agency annual reports and other country-specific documentation. On the other hand, they found that there would be little advantage to deploying the system over a blockchain database compared to a traditional centralised database.",,International,Community,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
69,"World Bank, AI integrity tool","Working with Microsoft, the World Bank used AI technology to analyse world bank procurement data and detect patterns that hint at corrupt behaviour. They are looking at how this data could be complemented by other datasets in order to detect and mitigate corruption risks. ",http://blogs.worldbank.org/governance/can-artificial-intelligence-stop-corruption-its-tracks,International,Community,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
70,"Hansel Oy, Explore state spending","The “explore state spending” website (https://tutkihankintoja.fi/?lang=en) allows citizens and companies to explore data on government spending. Users can search according to different types of procurement spending (e.g. ICT procurement, administrative services, machinery, equipment and transport equipment, etc). AI technology is used in order to categorise the procurement spending. Other forms of analysis using AI technologies are also done on the data for the benefit just of procurement authorities.",https://tutkihankintoja.fi/?lang=en,National,Finland,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
71,Predicting Public Corruption with Neural Networks,"This research project used a neural network approach to predict public corruption based on economic and political factors, using data on actual cases of corruption. The model is applied to Spanish provinces in which actual cases of corruption were reported by the media or went to court between 2000 and 2012. The model finds that the taxation of real estate, economic growth, the increase in real estate prices, the growing number of deposit institutions and nonfinancial firms, and the same political party remaining in power for long periods seem to induce public corruption",https://www.researchgate.net/publication/321222117_Predicting_Public_Corruption_with_Neural_Networks_An_Analysis_of_Spanish_Provinces,National,Spain,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
72,"National Agency for the Digital Agenda of Romania (AADR), Chatbot project",The AADR is reportedly developing a chatbot to help navigate public procurement processes.,,National,Romania,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
73,"Consip, Mepa watch","The project aims to gain a better understanding of what is happening on the Consip platform and catalogue. It observes behaviours by users and uses these observations to make recommendations on training, improvements to the catalogue, propose new ways to interact, identify collusion etc. To do this, Consip are making use of IBM’s Watson technology. They make use of its natural language and image detection abilities in order to detect aspects such as whether the correct information is being put on their system (e.g. correct codes for products). It can also conduct an ex-post analysis in order to understand the behaviour of users. The project is still at an early phase, so there no results yet. A pilot phase should begin in Q3 2019.",,National,Italy,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
74,"Consip, Sentiment analysis of buyers and suppliers","In part because the Consip platform is a mandatory platform for buyers, it is very important that they have information on how their users view them. In order to get this information, they are experimenting with AI capabilities to understand the reactions of their users to new tenders etc using a variety of data sources.

They are making use of a machine learning platform enabling sentiment analysis of buyers and suppliers regarding the Consip platform. During the pilot phase data from twitter (as the data is open) is collected and analysed to provide quick feedback on how users react to new tenders etc. The system gives a positive, neutral or negative categorisation to the different sentiments expressed in the relevant tweets. The pilot is due to end in Summer 2018, with first results by the end of July. A decision on whether to scale up the pilot will be taken by September.  This could involve using a range of additional data sources (facebook, linked-in etc)",,National,Italy,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
75,"GSA, RPA Project","General Services Administration trialled RPA tools to ensure that employees were not spending time on tasks that could be better performed by robots. The tasks included pulling information on vendors, including checking whether they were eligible to do business with the government, determining their offerings and using this information to populate a pre-negotiation memo.",https://federalnewsnetwork.com/technology-main/2018/03/how-gsa-turned-an-automation-project-into-a-acquisition-time-saver/,National,USA,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
76,"Hansel Oy, eNest solution","Under the new eNest solution, verification of information provided by suppliers against official records will be done automatically during the tendering process. The system will use the European Single Procurement Document as a standard, which will mean that service providers do not need to attach official records to tenders. ",https://www.handi.fi/projektit/procurement-data/?lang=en;,National,Finland,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
77,"Palkeet, RPA Project",The Finnish Government Shared Services Centre for Finance and HR (Palkeet) have delivered a project aimed at automating business processes with software robotics. Tasks that have been automated include purchase invoice validation and supplier register maintenance etc. This was the first major Robotic Process Automation (RPA) implementation in Finnish public sector. The project is part of a wider digitalization initiative by the Finnish government.,https://www.norian.eu/palkeet-expand-highly-successful-software-robotics-cooperation-norian/,National,Finland,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
78,"Ministry of Finance, mTender","With support from the EBRD, the Moldovan Government developed an open source electronic procurement system for electronic open tender, reverse auctions, aggregated procurement planning and online framework agreements. The system makes use of the open contracting data standard. It provides a fully digitised procurement planning tool, which reportedly automates (using robotic process automation) tracking of execution of contracts.",,National,Moldova,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
79,"Department of Defense, IoT Asset Tracking ","Two new devices with active RFID transponders and interrogators available for use by the US Department of Defense (DoD), NATO, and Federal Government agencies. Sensors pinpoint the location of vehicles, weapons, heavy equipment, technical tools and supplies from moment to moment and can provide streaming real-team data on the count, location and condition of these assets.",https://ec.europa.eu/cefdigital/wiki/display/CEFDIGITAL/2018/06/13/Finland+is+using+AI+in+attempt+to+achieve+one-hundred+per+cent+eInvoicing,National,USA,,Unknown,,,,,,,Internet of Things,In development,Unknown
80,"Department of Defense, 3D Printing","The Department of Defense has been experimenting with 3D printing to allow soldiers in combat zones to repair damaged parts of aircrafts and ground vehicles. To solve the issue of intellectual property rights of the vendor being violated, it has been proposed to incorporate blockchain in the 3D printing process, that would securely log every part produced in a combat zone, and the Department could pay the vendor accordingly. 3D printing would also help the forces streamline supply chains by making the parts where they are needed.",https://gcn.com/Articles/2017/05/15/DOD-blockchain-3D-printing.aspx,National,USA,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
81,"Deutsche Bahn, 3D Printing ","At the end of 2015, Deutsche Bahn made use of its first 3D printed part - a coat hook. Since then, DB has printed more than 4,500 spare parts and other products. By the end of 2018, 15,000 were expected to have been produced. It prints spare parts for older vehicles or systems in the infrastructure sector, which are no longer or only with difficulty deliverable. These include, for example, ventilation grilles, headrests, coat hooks or cable boxes.",https://www.deutschebahn.com/en/Digitalization/DB_Digital/productworld/3dprint-1214672,National,Germany,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
82,"Nederlandse Sporten, 3D Printing ","The partnership has actually been in place for several months. It initially allowed Dutch Railways to learn about and experiment with the possibilities of 3D printing and the quality of the parts that it could produce. The railway system selected and re-engineered a few parts, which were then 3D printed by DiManEx to the specifications provided by Dutch Railways. Mandatory quality control tests were then performed, and the approved part was then used in trains.",https://nieuws.ns.nl/ns-zet-stap-in-de-wereld-van-3d-printen/,National,Netherlands,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
83,"Material Stock Logistic Command of the Dutch Army, 3D Printing roadmap ","Additive Manufacturing (AM), also known as “3D printing,” is a technology that has advanced considerably in recent years. The Dutch Ministry of Defense has been experimenting with the technology for some time. Their ambition is to embed AM into their operations in a streamlined manner. In order to do so, the army’s Material Stock Logistic Command (MatLogCo) has recently presented a roadmap for implementation. A new AM Center will be created within this command division to foster capacity and knowledge building, aiming to cover the institution’s needs in the field of AM.",https://www.dimanex.com/2018/05/14/dutch-army-starts-cooperation-with-dimanex-to-solve-spare-part-supply-challenges-with-an-end-to-end-service-for-3d-manufacturing/,National,Netherlands,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
84,"Agency for Nature and Forestry (ANB) and Department for Mobility and Public Works (MOW), Public spatial planning projects","The agencies are looking into how AR/VR could be used to visualise ""Large-scale road works, urban development projects, landscape preservation or nature development project"". These technologies would be used to enable citizens to experience the project in a virtual way. The feedback from citizens from this experience would be “collected and lead to useful input and timely adjustments”.  ",http://www.innovatieveoverheidsopdrachten.be/en/projects/public-spatial-planning-projects-augmented-and-virtual-reality,National,Belgium,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
85,"Helsinki city council, Urban planning project","VTT Technical Research Centre in Finland, has developed mobile AR tools which allow city planners to see the buildings that they are providing or declining approval for. These tools have been used by Helsinki city council planners when assessing the development of several buildings within the city, including a tower and a hotel.",https://vttblog.com/2018/01/08/augmented-reality-urban-data-and-the-related-opportunities/,National,Finland,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
86,Digibygg project,"The Digibygg project is a pilot project for testing the use of a number of different digital tools for construction. As part of this project a utility station and 24-hour rest room was constucted in a project that was described as the ""most digital building project of all time"". One of the digital technologies tested was the use of VR and AR in order to visualise the building.",http://www.bygg.no/article/1381510?image=dp-image121202-1381521,National,Norway,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
87,Imerso pilot project,"This project with Imerso involves the use of digital models to ensure that the building being constructud matches the initial plans. The project makes use of laser scanners to check the conformity of the building. Statsbygg believe that this technology can produce savings ""in the hundred million"" as it can prevent snowballing errors in construction.",https://www.dn.no/morgendagens-naringsliv/imerso/statsbygg/sarah-muller/hun-sjekket-hver-millimeter-av-12000-kvadratmeter-pa-en-dag/2-1-428362,National,Norway,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
88,"Department of Budget and Management, Project DIME","Under Project DIME (Digital Imaging for Monitoring and Evaluation), the department is using technologies including drones, LIDAR, and satellites, as well as geo-tagging applications to monitor project progress against fund utilisation for selected high value government projects developing physical infrastructure. In 2018, 75 projects are being monitored under the programme. ",https://govinsider.asia/innovation/women-in-govtech-2018-lilia-guillermo-the-chief-information-officer-of-the-department-of-budget-and-management/,National,Philippines,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
89,"Digibygg, Digitised construction project","The Digibygg project is a pilot project for testing the use of a number of different digital tools for construction. As part of this project a utility station and 24-hour rest room was constucted in a project that was described as the ""most digital building project of all time"". One of the digital technologies tested was the use of VR and AR in order to visualise the building.",http://www.bygg.no/article/1381510?image=dp-image121202-1381521,National,Norway,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
90,"Statsbygg, Imerso pilot project","This project with Imerso involves the use of digital models to ensure that the building being constructed matches the initial plans. The project makes use of laser scanners to check the conformity of the building. Statsbygg believe that this technology can produce savings ""in the hundred million"" as it can prevent snowballing errors in construction. ",https://www.dn.no/morgendagens-naringsliv/imerso/statsbygg/sarah-muller/hun-sjekket-hver-millimeter-av-12000-kvadratmeter-pa-en-dag/2-1-428362,National,Norway,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
91,"Portuguese Institute of Oncology of Lisbon, Purchasing management Platform","The projects aims to modernise procurement using robotic process automation and blockchain. Tasks to be automated using robotic proces automation include request approval, compilation of documents, and approval of suppliers. Using blockchain, the project seeks to make procurement more secure and increase the traceability of information.",,National,Portugal,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
92,"Comptroller General of the Republic of Costa Rica, Blockchain project","The government agency is considering updating the their existing Electronic Public Procurement Integrated System (SICOP) to include blockchain technology. Blockchain is to be used to ""increase the security and control of public procurement processes"" in the ""pre-control functions (pre-bid stage and bankruptcy)"". The new technology would also ""facilitate the audit tasks that it carries out as part of its subsequent controls, by being able to review with certainty the chains of information that could be applied in all or parts of the public contracts of the State Administrations.""",,National,Costa Rica,,Unknown,,,,,,,Blockchain,In development,Unknown
93,"Competition and Markets Authority, Cartel screening tool","The Competition and Markets Authority has produced a free tool to help spot unusual bidder behaviour and pricing patterns identified in past cartels. It will indicate which, if any, of your procurement exercises show any signs of bid-rigging.",https://www.gov.uk/government/publications/screening-for-cartels-tool-for-procurers,National,UK,,Unknown,,,,,,,Data analytics,In production,Unknown
94,Internal Revenue Service,The IRS is reportedly making use of RPA to automate some aspects of procurement,,National,USA,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
95,"Korean Public Procurement Service, Product Management System","The Public procurement service has upgraded their product management system with AI technology. The new system uses ""deep learning"" capabilities to predict the quanitites of products needed for the next year's purchase.",https://www.pps.go.kr/bbs/selectBoard.do?boardSeqNo=25&pageIndex=1&boardId=ENG005,National,South Korea,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
96,"European Blockchain Partnership - 
Consultation for new use cases for EBSI ","This use case scope is the adoption of blockchain to improve the public procurement. The main objective is to enable the registration of an offer in a distributed ledger network; i.e. using it as an electronic mean of submission of tenders, mandatory according with art. 22 Directive 2014/24/EU. As additional objective, it aims to improve the transparency of the public procurement process and ease (automate when possible) the awarding process.",https://www.blockchaineconomia.es/aragon-contratacion-blockchain/,National,Spain,,Unknown,,,,,,,Blockchain,In development,Unknown
97,Provide consultancy services on Blockchain technology,Provide consultancy services on Blockchain technology,https://ted.europa.eu/udl?uri=TED:NOTICE:413421-2019:TEXT:EN:HTML,National,Portugal,,Unknown,,,,,,,Blockchain,Unknown,Unknown
98,Provision of artificial intelligence consulting services,Provision of artificial intelligence consulting services,https://ted.europa.eu/udl?uri=TED:NOTICE:486993-2019:TEXT:EN:HTML&tabId=0,National,Portugal,,Unknown,,,,,,,Artificial Intelligence,Unknown,Unknown
99,Acquisition of the provision of services using IOT,"Acquisition of the provision of services for the provision, management of collection, cleaning and maintenance of used food oil deposition equipment from the domestic sector, with interaction by IOT system, in the modality continuous supply.",https://dre.pt/application/file/124976793,National,Portugal,,Unknown,,,,,,,Internet of Things,Unknown,Unknown
100,Estonian Blockchain Technology,"2017 – data embassy in Luxembourg was established. Data Embassy is an extension in the cloud of the Estonian government, which means the state owns server resources outside its territorial boundaries. This is an innovative concept for handling state information, since states usually store their information within their physical boundaries. Data Embassy resources are under Estonian state control. They are secured against cyberattacks or crisis situations with Blockchain technology and are capable of not only providing data backups, but also operating the most critical services.",https://toolbox.estonia.ee/media/1921,National,Estonia,,Unknown,,,,,,,Blockchain,Unknown,Unknown
101,SUVE,"The websites of several government agencies now have Suve, an automated chatbot which provides answers to frequently asked questions about the emergency situation and the coronavirus. The chatbot provides answers to questions in Estonian and English and uses information from the official sources of government agencies.",https://www.valitsus.ee/en/news/chatbot-will-help-you-find-answers-your-questions-about-crisis,National,Estonia,,Unknown,,,,,,,Artificial Intelligence,Unknown,Unknown
102,Kratid,"The Information System Authority of Estonia is using machine learning for detecting anomalies and incidents on the traffic of the Estonian data exchange layer – X-Road. 
Predictive analytics is used to decide where to send the police for traffic regulation. The system is well used in cities; however the algorithm does not yet work well in rural areas. 
The Estonian Unemployment Insurance Fund matches job seekers with open positions using AI. It helps job seekers get matched with the right job. The current job matching algorithm is developed further with job seeker profiling algorithm. 
Estonian Agricultural Registers and Information Board is using machine learning to detect land mowing. Satellite images are analysed to detect whether agricultural land has been mowed. This is necessary as mowing land is one of the requirements for receiving government grants. Before satellite image analysis this work was carried out manually using on-spot control. 
In line with the Digital Agenda 2020 for Estonia, the government encourages the use of AI applications and test projects. The aim is to have at least 50 use cases in public sector by 2020. Interestingly, Estonia has also launched a task force to collect ideas from the general public on how to best make use of AI for the development of Estonia’s economy and state.
",https://www.kratid.ee/in-English,National,Estonia,,Unknown,,,,,,,Artificial Intelligence,Unknown,Unknown
103,VR Estonia,"VR Estonia introduces the Estonian e-state and local business environment with twelve different 360-degree virtual reality videos. The topics include digital identity, e-residency, business environment, cyber security and the future of the e-state.",https://vrestonia.ee/,National,Estonia,,Unknown,,,,,,,Artificial Intelligence,Unknown,Unknown
104,Skrinja 2.0,"The project will result in the creation of an information platform as a service for other bodies of state administration. Business intelligence will provide users with quality information for making optimal decisions. It is also planned to create a Professional Support Centre, in which special attention will be paid to strict adherence to data protection standards and rules.",https://2tm.si/the-b2-college-takes-part-in-the-skrinja-2-0-project/?lang=en,National,Slovenia,,Unknown,,,,,,,Data analytics,In development,Unknown
105,PIANOo,"PIANOo makes weekly analysis of tenders
See the impact of the corona crisis on ongoing and new tenders

PIANOo maps out weekly tender behaviour globally on the basis of announcements on TenderNed. What happens to new, modified and cancelled tenders? PIANOo focuses on European tenders (over 85% of the published contracts).",https://www.tenderned.nl/cms/nieuws/pianoo-maakt-wekelijks-analyse-aanbestedingen,National,Netherlands,,Unknown,,,,,,,Data analytics,In production,Unknown
106,Commercio.network,Exchange and sign documents on the first eIDAS compliant blockchain in Europe.,https://commercio.network/,National,Italy,,Unknown,,,,,,,Blockchain,Unknown,Unknown
