#;ID;UCID;Name;Website;Description;Geographical extent;"Geographic coverage
Country";"Geographic coverage 
NUTS 2021";"Responsible
Organization";"Responsible 
Organization 
Category";"Functions of Government 
(COFOG level I)";"Functions of Government 
(COFOG level II)";Status;Start Year;End Year;2020 AI Classification (deprecated);Process Type;Application Type;Technology;CrossSector;CrossBorder;Uptake;Interaction;Use Type;Improved Public Service;Personalized Services;Public (citizen)-centered services;Increase quality of PSI and services;More responsive, efficient, and cost-effective public services;New services or channels;Improved Administration;Improved Administrative Efficiency;Cost-reduction;Responsiveness of government operation;Improved management of public resources;Increased quality of processes and systems;Better collaboration and better communication;Reduced or eliminate the risk of corruption and abuse of the law by public servants;Enabled greater fairness, honesty, equality;Open government capabilities;Increased transparency of public sector operations;Increased public participation in government actions and policy making;Improved public control and influence on government actions and policies;Source
43;50035;IPSO-50035;Blockchain-based Digital Identity: Do-it-Yourself Marriage;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;Rijksdienst voor Identiteitsgegevens (RvIG) is investigating how digital identity can be implemented on blockchains for Dutch citizens According to RvIG, a reliable, easy-to-use digital identity is a prerequisite for being able to participate in the blockchain. There are still many questions open about the concept of digital identity. RvIG recently organized an internal blockchain workshop. One of the most appealing examples of 'identity in the blockchain' that came up was the do-it-yourself marriage. For the conclusion of a marriage, three parties are now needed: the two partners who decide to marry and the registrar of the civil registry who closes the marriage. The civil registrar's role is that of the 'third party that creates trust and can conclude the agreement after checking.' The nature of the blockchain means that this 'third party' is in some cases superfluous. In theory, this could also apply to a marriage: via the blockchain, the identity and intention of the two partners can be checked and verified via smart contracts and the decentralized databases. The marriage could thus be completed via the blockchain.;National;Netherlands;NL;Rijksdienst voor Identiteitsgegevens (RvIG) Gemeente Zaanstad;Central-Government;General public services;General services.;Not in use anymore;2016;;;Public services and engagement;Authentication of self-sovereign Digital ID services;Blockchain;No;No;Yes;G2C;Self-sovereign digital identity;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
44;50036;IPSO-50036;Aid Subsidy Collection;https://www.welkominzuidhorn.nl/actueel/actueel-zuidhorn/zuidhorn-voert-kindpakket-uit-met-blockchain-technologie;The municipality of Zuidhorn has found a unique and innovative way to implement the Kindpakket subsidies via blockchain technology. The Child Package is a budget for children of parents with a minimum income. In the municipality of Zuidhorn about 150 children are eligible for the program. This money is used by the municipality for disadvantaged children, giving them the opportunity to participate in social activities, in sports and cultural activities at school. The municipality carries out this national assignment with local entrepreneurs and associations. Within the city, two students have been engaged in research into the possible applications of blockchain in municipal services. They have designed the implementation of the Kindpakket in a new and very user-friendly way with blockchain. The recipient of the Kindpakket can take out the purchase in a simple administrative and financial manner. The 'customer' pays, for example buying a bicycle, with a specific code and the entrepreneur gets the money directly into his account with no intervention from the municipality.;Local;Netherlands;NL;Gemeente Zuidhorn;Local Government;Social protection;Family and children.;In development;2016;;;Public services and engagement;Financial management and support ;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;X;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
45;50038;IPSO-50038;TrustForWills;https://www.esmartcity.es/2018/05/03/proyecto-trustforwills-aplica-tecnologia-blockchain-gestion-testamento-digital-personas;In the context of digital legacy, TrustForWills ensures the automated compliance of users' wills in case of temporary disability or death. This is a government supported initiative aimed at promoting the adoption of blockchain technology. To stimulate the generation of new business models within the legal sector by covering the management of currently unsupported patrimonies such as those pertaining to digital assets ecosystem.;National;Spain;ES;Ministery of Economy Tourism and Digital Agenda (Spain);Central-Government;General public services;General services.;In development;2018;;;Internal management;Internal management processes;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
46;50039;IPSO-50039;Distributed Open Data Portal;https://dadesobertes.valls.cat/;Open data portal in which the different data sets and resources are published both in the web portal and in a distributed network based on IPFS (data persistence). At the same time At the same time data is accountable by logging all changes on a distributed, immutable database (Ethereum)Improve citizen participation. Reinforce commitment with citizens. Security and resilience;Local;Spain;ES;Ajuntament de Valls (Valls City Council);Local Government;General public services;General services.;Implemented;2019;;;Public services and engagement;Data Sharing Management;Blockchain;Yes;No;Yes;G2C;Auditing and logging;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
47;50040;IPSO-50040;Decentralized Energy Trading Marketplace;https://group.vattenfall.com/press-and-media/newsroom/2017/at-the-forefront-field-trial-on-blockchain-technology;Swedish state-owned energy company Vattenfall is to collaborate with 22 other European energy trading firms to launch a blockchain-based pilot. Should the project prove successful it would become the world's first blockchain-based trading system for wholesale energy. Vattenfall‚s Business Area Markets division will conduct the pilot in order to deepen its understanding of the technology and conclude whether or not such a decentralised solution could match its existing trading platforms while simultaneously reducing cost. The trial will be managed by Hamburg-based B2B solutions provider Ponton, which will provide software that facilitates encrypted sending and receipt of orders through a decentralised order book. The trading is all managed on a peer-to-peer basis, removing the need for a central marketplace that is operated by a third party exchange or broker.;Across Countries;Sweden;SE;Vattenfall - Business Area Markets;Central-Government;General public services;Fuel and energy;In development;2016;;;Public services and engagement;Supporting disintermediation ;Blockchain;No;Yes;No;G2B;Disintermediation and decentralised networks;Improved Public Service;;X;X;X;X;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
48;50041;IPSO-50041;PROCIVIS e-Government Pilot Project;https://generis.ch/schaffhauser-eid/?lang=en;"The Schaffhauser eID+ allows citizens of the Swiss Canton of Schaffhausen to install an electronic identity on their mobile phones and have its data validated by the residentsí registration office. Once set up, the electronic identity provides safe and easy-to-use access to a range of electronic government services without the need for additional logins and passwords. In addition, the eID+ app allows citizens to securely store digital documents on their mobile phones in order to have them available at any time.
";Regional;Switzerland;CH;Canton of Schaffhausen;Regional Government;General public services;General services.;In development;2017;;;Public services and engagement;Authentication of self-sovereign Digital ID services;Blockchain;No;No;Yes;G2C;Self-sovereign digital identity;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
49;50043;IPSO-50043;City of Zug Blockchain Voting Trial;https://www.coindesk.com/crypto-valley-declares-blockchain-voting-trial-a-success;"The Swiss city launched an e-voting Proof of Concept platform built on a blockchain as part of the city's efforts to embrace the technology. The voting process took place between June 25 and July 1, and stored both polling information and residents‚Äô IDs on the system.""We will build the e-voting platform ‚ÄòOpen Source‚Äô so that people can understand what the technology is and how it works. We want to encourage more people to develop blockchain-based applications for governments worldwide.""";Local;Switzerland;CH;City of Zug;Local Government;General public services;General public services n.e.c.;Pilot;2018;;;Public services and engagement;Governance and voting ;Blockchain;No;No;Yes;G2C;Governance and voting;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;X;X;EU Blockchain Observatory and Forum - Initiatives Map
50;50044;IPSO-50044;e-Auction 3.0;https://idf.solutions/idf-e-auction-3-0/;In October 2015 Innovations and Development Foundation began working on a next generation of decentralised, blockchain E-auction system. The platform is built for supporting non-corrupt, transparent privatisation process of state and regional property, land and enterprises. The first phase of the project was launched in February 2016.The strategy for improving the state property privatisation and lease process is based on the emerging, innovative models, that apply transformational changes to components which are relevant for Ukraine. Models offer the latest technological solutions, such as complete decentralisation/distribution based on blockchain and transparency for easy monitoring through API.;National;Ukraine;UA;Ministry of Finance;Central-Government;Economic affairs;General public services n.e.c.;Implemented;2015;;;Public services and engagement;Supporting disintermediation ;Blockchain;No;No;No;G2C;Disintermediation and decentralised networks;Improved Public Service;;X;X;;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
51;50045;IPSO-50045;R3 Project Maison;https://www.reuters.com/article/us-r3-fca/r3-uk-regulator-and-banks-team-up-on-blockchain-based-mortgage-reporting-idUKKCN1BN0QX;R3 CEV has partnered with Britain's financial watchdog and two large banks to develop a blockchain-based application to improve the regulatory reporting of mortgage transactions. R3 said on Tuesday that it had developed a prototype of the system together with the Financial Conduct Authority, the Royal Bank of Scotland Group and another global bank which did not wish to be named. The system, which was built using  blockchain called Corda, enables banks to generate automated delivery receipts for the regulator each time a mortgage is booked. The organizations hope that it can reduce the cost of the process and the risk of error. The FCA prototype ‚Äúcan give the regulator a new tool capable of overseeing mortgage activity much more quickly and efficiently than before whilst greatly reducing data inconsistencies,‚Äù Richard Crook, head of emerging technology at RBS, said in a statement.;National;United Kingdom;UK;Financial Conduct Authority (FCA);Central-Government;Economic affairs;General public services n.e.c.;In development;2017;;;Public services and engagement;Financial management and support ;Blockchain;No;No;No;G2G;Process digitalisation;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;X;X;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
52;50046;IPSO-50046;GovCoin Proof of Concept;http://www.cityam.com/245128/government-has-quietly-been-testing-blockchain-technology;Novel payment models will enable HM Treasury (HMT) and the Department for Work and Pensions (DWP) to distribute welfare support more efficiently and improve policy delivery. By applying DLTs in the registration and payment processes for government grants and benefits, DWP will be better equipped to: (1) Prevent financial losses through fraud and error, (2) Support the most vulnerable citizens by offering them the benefits of full financial inclusion, (3) Support the achievement of the government‚Äôs wider policy objectives, especially getting people out of poverty in a sustainable way and (4) Offer good value for money and place public expenditure on a sustainable footing. A large number of welfare claimants are un- or under-banked and face barriers to greater financial inclusion such as credit checks, access to traditional financial products, and the costs of unauthorised transactions. DLTs offer a cheap and supportive means of getting these claimants into the benefits system. Digital identities could be confirmed through distributed ledgers running on securely-encoded devices ‚Äî or even through software on a mobile device ‚Äî which would allow end-users to receive benefits directly, at reduced transaction costs to banks or local authorities. This may allow them to become more fully included in the financial system through a secure distribution point that is more reliable than a bank account. Such a solution could also be linked with other systems to reduce the level of fraud and official error in the delivery of benefits, as identities would be more difficult to forge. Such activities may help to achieve one of the DWP‚Äôs principal policy objectives: to lift people sustainably out of the cycle of poverty and state dependence. Through the innovative application of such technologies, it would be possible ‚Äî with agreement from the benefit claimant in question ‚Äî to set rules at both the recipient and merchant ends of welfare transactions. This may present the opportunity for ministers to consider options for achieving better policy outcomes from the distribution of welfare support by agreeing or setting rules around the use of benefits.;National;United Kingdom;UK;Department of Work and Pensions;Central-Government;Social protection;General services.;In development;2016;;;Public services and engagement;Financial management and support ;Blockchain;No;No;Yes;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
53;50047;IPSO-50047;RMG¬Æ The New Digital Gold Standard;http://www.royalmint.com/rmg;The Royal Mint, the world's leading export mint, and CME Group, the world's leading and most diverse derivatives marketplace, announced a collaboration to transform the way that market participants can trade gold. The Royal Mint, a 1,000-year-old institution owned by HM Treasury, has partnered with CME Group to build and launch a digitised gold offering called Royal Mint Gold (RMG). RMG will change the way traders and investors trade, execute and settle gold. The innovative new product will see The Royal Mint issue RMG as a digital record of ownership for gold stored at its highly-secure on-site bullion vault storage facility. CME Group will develop, implement and operate the product‚Äôs digital trading platform. Taken together, this new service will provide an easier, cost-effective and cryptographically secure alternative to buying, holding and trading spot gold.;National;United Kingdom;UK;The Royal Mint;Central-Government;Economic affairs;General public services n.e.c.;Implemented;2018;;;Public services and engagement;Supporting disintermediation ;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
54;50048;IPSO-50048;Distributed Ledger-based Gross Settlement System;https://www.computerworld.com/article/3121228/bank-of-england-wants-next-payment-system-to-be-blockchain-ready.html;"The Bank of England wants to open its interbank settlement service to blockchain technologies as part of a major revamp of the system. The bank is not suggesting that U.K. banks should begin processing bitcoin payments as a matter of routine. However, it does want the replacement for its aging real-time gross settlement (RTGS) system to be ready for whatever the industry is likely to throw at it when it goes into service in 2020. It identified five key strategic drivers for the new RTGS system in a consultation document, ""A new RTGS service for the U.K.: safeguarding stability, enabling innovation"". Among them, it lists the need to interface with new technologies such as distributed ledgers. These are often referred to as blockchains, and include systems such as bitcoin and Ethereum. In the bank's view, these systems -- and, indeed, the entire concept of distributed ledgers -- are still in their infancy, but if they achieve critical mass, it wants to be ready for them.";National;United Kingdom;UK;Bank of England;Central-Government;Economic affairs;General public services n.e.c.;In development;2017;;;Public services and engagement;Financial management and support ;Blockchain;No;No;Yes;G2B;Process digitalisation;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
55;50049;IPSO-50049;Food Standards Agency;https://www.coindesk.com/markets/2018/07/02/uk-food-watchdog-trials-blockchain-for-meat-inspection/;The U.K.'s Food Standards Agency (FSA), a safety watchdog, has successfully Proof of Concepted a blockchain-based supply chain monitoring system. The trial tracked meat produced in an unnamed cattle slaughterhouse, providing improved transparencyù throughout the supply chain, according to a press release. Both the slaughterhouse and the FSA tracked data provided in the trial. The approach has been to develop data standards with industry that will make theory reality and It's been possible to show that blockchain does indeed work in this part of the food industry. There are great opportunities now for industry and government to work together to expand and develop this approach.;National;United Kingdom;UK;Food Standards Agency;Central-Government;Economic affairs;Agriculture, forestry, fishing and hunting;Pilot;2020;;;Public services and engagement;Tracking of goods and assets along the supply chain ;Blockchain;No;No;No;G2B;Tracking of goods, supply chain, iot;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
56;70001;IPSO-70001;Aragon General Directorate of Contracting, Blockchain Project;https://www.europapress.es/aragon/noticia-aragon-pionera-apostar-tecnologia-blockchain-integrandose-asociacion-alastria-20180917130921.html;As part of a larger project aiming to use blockchain in order to transform public administration and the provision of public services, the General Directorate of Contracting within the Government of Aragon has launched a project in which blockchain will be used to register the bids received for public contracts and evaluate them in an automated ways.;Regional;Spain;ES;Aragon General Directorate of Contracting;Regional Government;General public services;General services.;Planned;2018;;;Internal management;Procurement management;Blockchain;Yes;No;Yes;G2G;Auditing and logging;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;X;X;Open government capabilities;X;;;Emerging technologies in public procurement
57;70002;IPSO-70002;Basque Government Blockchain project;https://cointelegraph.com/news/spanish-city-of-bilbao-launches-171k-tender-to-develop-public-blockchain-network;The city of Bilbao has launched a tender to get ideas for the implementation of blockchain in public services. The winning company would prepare a digital platform to facilitate the exchange of data between different public institutions by using blockchain and smart contracts.;Local;Spain;ES;City of Bilbao;Local Government;General public services;General services.;Planned;2018;;;Internal management;Procurement management;Blockchain;Yes;No;Yes;G2G;Data access and reuse;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;;;Open government capabilities;X;;;Emerging technologies in public procurement
58;70003;IPSO-70003;V-ICT-OR Blockchain Project;https://pdfs.semanticscholar.org/1384/6690e1b39896899fc0ad4e00a9164d00dd68.pdf;V-ICT-OR (the membership organization for those involved in ICT and information management at Flemish local governments) teamed up with Digipolis to launch a challenge for blockchain solutions for procurement. The project was used as a way to become acquainted with a new way of organising the procurement process. It was successfully implemented and the solution is currently being programmed.;Regional;Belgium;BE;Digipolis;Regional Government;General public services;General services.;In development;2017;;;Internal management;Procurement management;Blockchain;Yes;No;Yes;G2G;Auditing and logging;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;X;X;Open government capabilities;X;;;Emerging technologies in public procurement
59;70006;IPSO-70006;Digipolis Antwerp, Smart procurement tool;https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp;Digipolis, the IT agency for Antwerp, is developing a blockchain-based application together with its partner for the project, BallistiX, which will allow for the publication of a quotation request and submission and opening of quotations. It is believed that the use of blockchain will guarantee the reliability of each step of the procurement process, as they will be recorded in a transparent manner.;Local;Belgium;BE;Digipolis;Local Government;General public services;General services.;In development;2018;;;Internal management;Procurement management;Blockchain;Yes;No;Yes;G2G;Disintermediation and decentralised networks;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;X;X;Open government capabilities;X;;;Emerging technologies in public procurement
60;70007;IPSO-70007;Malta Information Technology Agency (MITA),  Smart Public Contracts;https://ideas.repec.org/a/igg/jitpm0/v10y2019i2p16-28.html;Under the project, MITA and the University of Malta are collaborating to develop a first prototype of a smart contract with the aim of turring their public procurement contracts into smart contracts. The project will develop a smart contract which will automatically record events on the blockchain, a centralised database to record other events not on the blockchain, and a centralised web application to provide an interface with the smart contract and the centralised database.;National;Malta;MT;MITA;Central-Government;General public services;General services.;In development;2018;;;Internal management;Procurement management;Blockchain;Yes;No;Yes;G2G;Auditing and logging;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;X;X;Open government capabilities;X;;;Emerging technologies in public procurement
61;70036;IPSO-70036;Estonian Blockchain Technology;https://e-estonia.com/solutions/e-governance/data-embassy/;2017 - data embassy in Luxembourg was established. Data Embassy is an extension in the cloud of the Estonian government, which means the state owns server resources outside its territorial boundaries. This is an innovative concept for handling state information, since states usually store their information within their physical boundaries. Data Embassy resources are under Estonian state control. They are secured against cyberattacks or crisis situations with Blockchain technology and are capable of not only providing data backups, but also operating the most critical services.;National;Estonia;EE;Estonian Government;Central-Government;General public services;General services.;Implemented;2017;;;Enforcement;Improving Cybersecurity ;Blockchain;No;Yes;Yes;G2G;Cybersecurity;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;;;FALSO;;;;Emerging technologies in public procurement
62;150020;IPSO-150020;Signaturit - The smartest e-Signature solution to send and sign documents on the go;https://cordis.europa.eu/project/id/735095;Signaturit is a service that allows to the user handwriting signature of documents through any mobile device in a digitised format.;Across Countries;Spain;ES;Signaturit Solutions;Private sector;General public services;General services.;Pilot;2017;;;Enforcement;Certification and validation processes;Blockchain;No;Yes;No;G2C;Self-sovereign digital identity;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;A multi-dimensional framework to evaluate the innovation potential of digital public services: A step towards building an Innovative Public Services Observatory in the EU
63;200001;IPSO-200001;Obrir Girona -  system of certifications of vaccinations and Covid19 tests;https://obrirgirona.cat/;Obrir Girona project aims to develop a Proof of Concept test within the city of Girona in order to test a system of certifications of vaccinations and Covid19 tests that would allow a person to be credited with having greater security (less likely to become infected and to infect other people) in moving, participating in events, buying, going to restaurants or other activities that were daily before the pandemic. This project is possible by keeping personal data privacy and in a secure and immutable way thanks to blockchain technology, which allows the user to be solely responsible for their data and cannot be altered.;Local;Spain;ES;Centre Blockchain de Catalunya;Regional Government;Health;Public health services.;Pilot;2021;†;;Enforcement;Certification and validation processes;Blockchain;No;No;Yes;G2C;Certification;Improved Public Service;;X;X;X;X;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
64;200002;IPSO-200002;Blockchain for Taxes project;https://www.efama.org/blockchain-taxes-project;EFAMA intends to launch a Proof of Concept test and discover how the use of distributed ledger technology (DLT) can be used to provide a Withholding Tax Relief at Source model and, making use of current market infrastructure and deliver trust and transparency for all market participants including tax authorities. The projectís main goal is to streamline the investment process by providing secure information, thus reducing inefficiencies and risks for all market participants and tax authorities (including fraud and excess WHT). ;Across Countries;European Union;EU;European Fund and Asset Management Association;Consortium;Economic affairs;R&D economic affairs;Pilot;2020;†;;Public services and engagement;Supporting disintermediation ;Blockchain;No;Yes;No;G2B;Process digitalisation;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
65;200003;IPSO-200003;Decentralized Social Security System;https://medium.com/asurenetwork/blockchain-as-the-future-of-social-security-intro-1-5-2a600e64ac7b;Creation of a technical feasibility study of the german statutory pension system and a Proof-of-Concept of how it could be implemented on the Ethereum blockchain and the Asure network. The Asure Foundation brings the mechanics of the German statutory pension system onto the Blockchain to research the advantages for social security systems.;National;Germany;DE;Asure Foundation;Non-governmental;Social protection;R&D social protection.;In development;2018;†;;Internal management;Internal management processes;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
66;200004;IPSO-200004;Digital vehicle registration ;https://www.cartrust.com/;Proof of Concept project for digital vehicle registration based on blockchain and self-sovereign identity, supported by public authorities. Digital twins of vehicles will be created on the basis of secure analog vehicle documents, and the ownership and subsequent rights (right of sale, right of disposal, right of use) will be managed and transferred via this system. The evidence required for vehicle registration can thus be provided digitally. The local authority can carry out vehicle registration in a paperless and fully automated manner. This is made possible by eIDAS-compliant identification of the participants, as well as digital proof of ownership and rights of the vehicles via blockchain and self-sovereign identity (SSI). This sollution is currently being implemented in the city of Hamm in North Rhine-Westphalia.;National;Germany;DE;CarTrust;Private sector;General public services;General services.;Pilot;2021;†;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
67;200005;IPSO-200005;Doing Business Abroad ;https://www.de4a.eu/doingbusinessabroadProof of Concept;The Doing Business Abroad Proof of Concept aims to reduce the administrative burden of starting and doing business in another European Member State. With the new Once Only Technical System, information about a company is re-used cross-border which reduces the time to register and afterwards request a service in another Member State substantially. The entire process is fully online and secure, using the authentication and authorization means of the home-country that are familiar to the representative of the company. The Proof of Concept is performed by Austria, The Netherlands, Romania and Sweden, which means that these countries support cross-border communication for both company-information and mandates.;Across Countries;European Union;EU;Digital Europe for All (DE4A);Consortium;General public services;General services.;Pilot;2021;†;;Public services and engagement;Service integration (various);Blockchain;No;Yes;No;G2C;Process digitalisation;Improved Public Service;;x;x;;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
68;200006;IPSO-200006;Cold Chain Monitoring of COVID-19 Vaccine;https://www.cnbc.com/2021/01/19/uk-hospitals-use-blockchain-to-track-coronavirus-vaccine-temperature.html;Digital asset tracking and monitoring provider Everyware Ltd, and enterprise-grade distributed ledger provider Hedera Hashgraph, are working with an initial group of National Health Service (NHS) facilities to monitor the cold storage equipment being used to store the COVID-19 and other vaccines. The various COVID-19 vaccines, including the one developed by Pfizer, require exact degrees of cold storage at all times in order to maintain their efficacy. While centralized distribution centers and transportation units can store the vaccine at the recommended -70∞C±10∞C for up to 10 days unopened, they must also be stored at hospitals and other administering centers for five days at refrigerated 2-8∞C conditions. By leveraging Everywareís asset monitoring solution at the ëlast mileí, hospitals and healthcare facilities can ensure that vaccines are being maintained at the proper temperature throughout the entire time in their custody, before they are administered to patients. In addition, Everyware enables healthcare facilities to share information with other parts of the vaccine delivery chain ñ including pharmaceutical providers, centralized storage facilities, and transportation companies, to respond and adjust to any issues as they arise.;National;United Kingdom;UK;National Health Service (NHS);Central-Government;Health;Public health services.;Implemented;2021;†;;Public services and engagement;Tracking of goods and assets along the supply chain ;Blockchain;No;No;Yes;G2C;Tracking of goods, supply chain, iot;Improved Public Service;;x;x;;;FALSO;FALSO;;;;;;;;FALSO;;;;https://hedera.com/blog/everyware-and-hedera-hashgraph-enabling-cold-chain-monitoring-of-covid-19-vaccine-for-nhs-facilities
69;200007;IPSO-200007;Supporting Lifelong Learning;https://qualichain-project.eu/Proof of Concepts/supporting-lifelong-learning/;The overall objective of this Proof of Concept, conducted by The Open University, is to investigate how blockchain technologies can support lifelong learners in their learning journey and in advancing their career, for example, by offering them personalised recommendations based on their learning achievements. The main goals of this Proof of Concept are: awarding lifelong learners with transparent and immutable educational accreditation, offering lifelong learners personalised recommendations and supporting lifelong learners in reaching their personal or professional learning goals.;National;United Kingdom;UK;The Open University;Academic-Research;Education;Education not definable by level.;Pilot;2019;†;;Enforcement;Certification and validation processes;Blockchain;No;No;No;G2C;Skill assessment;Improved Public Service;;X;X;X;X;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
70;200008;IPSO-200008;University Process Optimisation through Smart Curriculum Design and Student Accreditation;https://qualichain-project.eu/Proof of Concepts/university-process-optimisation-through-smart-curriculum-design-and-student-accreditation/;This Proof of Concept applied in the Electrical & Computer Engineering (ECE) school of the National Technical University of Athens (NTUA) aims to optimise the university operation and curriculum design as well as facilitate the validation and verification of skills and qualifications of undergraduate and Ph.D. students. The Proof of Concept provides analytics and recommendations for the redesign and update of specific courses and by extension the entire curriculum of the school. The student accreditation and lecturer validation and recognition is made through a trusted, immutable and secure Blockchain ledger.  ;National;Greece;EL;Electrical & Computer Engineering (ECE) school of the National Technical University of Athens (NTUA) ;Academic-Research;Education;Post-secondary non-tertiary education.;Pilot;2019;†;;Enforcement;Certification and validation processes;Blockchain;No;No;No;G2C;Skill assessment;Improved Public Service;;X;X;X;X;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
71;200009;IPSO-200009;Staffing the Public Sector ñ The Case of Greece;https://qualichain-project.eu/Proof of Concepts/staffing-the-public-sector-the-case-of-greece/;The main goal of this Proof of Concept is to support, simplify and improve the public sector recruitment and competency management procedures. More precisely the Proof of Concept focuses on optimising internal evaluation procedures pertinent to the†evaluation,†selection and recruitment with respect to the candidatesí qualifications. The Proof of Concept project provides personalised candidate notifications for job vacancies by matching individual profiles with available jobs in the civil service, validates academic and professional qualifications of individual candidates†and improves the efficiency of the recruitment process in terms of time and credibility. The Supreme Council for Civil Personnel Selection (ASEP), an independent authority responsible for public sector recruitment, participates in the European QualiChain program as a linked third party of the project, in collaboration with the European Programs Service of the Hellenic Parliament (HeP).;National;Greece;EL;Supreme Council for Civil Personnel Selection (ASEP);Central-Government;General public services;General services;Pilot;2019;†;;Internal management;Internal management processes;Blockchain;No;No;No;G2G;Skill assessment;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
72;200010;IPSO-200010;Staffing the Public Sector ñ The Case of Portugal;https://qualichain-project.eu/Proof of Concepts/staffing-the-public-sector-the-case-of-portugal/;This use case involves integrating the FenixEdu system†with the QualiChain platform. FenixEdu is an academic management platform that supports full program and course management, including the issuing of diplomas (essentially, a pdf document that is printed, signed and stamped). This integration of FenixEdu with the QualiChain platform allows diplomas issued using FenixEdu to be automatically inserted in QualiChainís blockchain, allowing the Portuguese public administration ñ represented by AMA in this use case ñ to have access to all the diplomas issued by universities that use FenixEdu, within the access limits imposed by students and the schoolsí administrations. Qualichainís platform ensures the authenticity and integrity of the diplomas.;National;Portugal;PT;AgÍncia para a ModernizaÁ„o Administrativa (AMA);Central-Government;General public services;General services;Pilot;2019;†;;Internal management;Internal management processes;Blockchain;No;No;No;G2G;Skill assessment;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;X;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
